id,qb,p1,p2,opp_p1,sal,proj,actual,diff
50808,Justin Herbert,Keenan Allen,Hunter Henry,Darren Waller,27400,58.1,60.24,1.036833046
50806,Justin Herbert,Keenan Allen,Mike Williams,Henry Ruggs III,27300,56.7,55.84,0.984832451
50807,Justin Herbert,Keenan Allen,Mike Williams,Nelson Agholor,26600,56.5,67.34,1.191858407
50810,Justin Herbert,Keenan Allen,Hunter Henry,Henry Ruggs III,26700,54.9,50.54,0.920582878
50812,Justin Herbert,Keenan Allen,Hunter Henry,Nelson Agholor,26000,54.7,62.04,1.134186472
52531,Deshaun Watson,DeAndre Hopkins,Darren Fells,T.Y. Hilton,29300,57.6,58.72,1.019444444
52539,Deshaun Watson,DeAndre Hopkins,Jordan Akins,T.Y. Hilton,28500,57.5,57.72,1.003826087
52523,Deshaun Watson,DeAndre Hopkins,Will Fuller V,Eric Ebron,27900,57.2,54.72,0.956643357
52527,Deshaun Watson,DeAndre Hopkins,Will Fuller V,Jack Doyle,27500,56.4,43.32,0.768085106
52532,Deshaun Watson,DeAndre Hopkins,Darren Fells,Eric Ebron,27000,50,57.32,1.1464
52544,Deshaun Watson,DeAndre Hopkins,Jordan Akins,Eric Ebron,26200,49.9,56.32,1.128657315
52534,Deshaun Watson,DeAndre Hopkins,Darren Fells,Jack Doyle,26600,49.2,45.92,0.933333333
52547,Deshaun Watson,DeAndre Hopkins,Jordan Akins,Jack Doyle,25800,49.1,44.92,0.914867617
49872,Deshaun Watson,Brandin Cooks,Keke Coutee,Tee Higgins,27400,55.7,77.16,1.385278276
49880,Deshaun Watson,Brandin Cooks,Keke Coutee,A.J. Green,27100,54.8,66.66,1.216423358
49906,Deshaun Watson,Keke Coutee,Chad Hansen,Tee Higgins,26100,54.4,54.86,1.008455882
49886,Deshaun Watson,Brandin Cooks,Chad Hansen,Tee Higgins,27000,54.4,70.56,1.297058824
49912,Deshaun Watson,Keke Coutee,Chad Hansen,A.J. Green,25800,53.5,44.36,0.829158879
49891,Deshaun Watson,Brandin Cooks,Chad Hansen,A.J. Green,26700,53.5,60.06,1.122616822
49917,Deshaun Watson,Keke Coutee,Jordan Akins,Tee Higgins,25500,50.7,59.46,1.172781065
49896,Deshaun Watson,Brandin Cooks,Jordan Akins,Tee Higgins,26400,50.7,75.16,1.482445759
49922,Deshaun Watson,Keke Coutee,Jordan Akins,A.J. Green,25200,49.8,48.96,0.98313253
49901,Deshaun Watson,Brandin Cooks,Jordan Akins,A.J. Green,26100,49.8,64.66,1.298393574
49931,Deshaun Watson,Chad Hansen,Jordan Akins,Tee Higgins,25100,49.4,52.86,1.070040486
49938,Deshaun Watson,Chad Hansen,Jordan Akins,A.J. Green,24800,48.5,42.36,0.873402062
49825,Patrick Mahomes,Tyreek Hill,Travis Kelce,DeVante Parker,32600,66.1,69.82,1.056278366
49829,Patrick Mahomes,Tyreek Hill,Travis Kelce,Mike Gesicki,31800,62.6,90.82,1.450798722
49833,Patrick Mahomes,Tyreek Hill,Sammy Watkins,DeVante Parker,30000,59.6,52.42,0.879530201
