player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Allen Robinson II,Main-19-FD-15,8000,WR,CHI,13.8,0,0,40,18,4,16,1.15942029
DJ Moore,Main-19-FD-13,6800,WR,CAR,13.8,0,0,38.5,24.5,-10.5,16.2,1.173913043
Mike Evans,Main-19-FD-04,7700,WR,TB,13.8,0,0,48.5,19.8,9,16.9,1.224637681
Amari Cooper,Main-19-FD-02,7800,WR,DAL,13.8,0,0,46.5,26.3,-6,12.4,0.898550725
Allen Robinson II,Main-20-FD-01,7200,WR,CHI,13.8,0,1.97,42.5,20,2.5,9.8,0.710144928
Michael Thomas,Main-20-FD-10,8500,WR,NO,13.7,0,0,49.5,29.5,-9.5,3.7,0.270072993
Brandon Aiyuk,Main-20-FD-08,5900,WR,SF,13.7,0,0,54.5,26.8,1,19.1,1.394160584
Robby Anderson,Main-20-FD-06,6500,WR,CAR,13.7,0,0,45,23.5,-2,9.7,0.708029197
Marquise Brown,Main-20-FD-05,6100,WR,BAL,13.7,0,0,49,30.8,-12.5,16.8,1.226277372
A.J. Brown,Main-19-FD-17,7200,WR,TEN,13.7,0,0,43,26.5,-10,20.4,1.489051095
Julio Jones,Main-19-FD-14,7800,WR,ATL,13.7,0,0,48,25.8,-3.5,9.1,0.664233577
Marvin Jones Jr.,Main-19-FD-08,6300,WR,DET,13.7,0,0,49,27.8,-6.5,4.2,0.306569343
Kenny Golladay,Main-19-FD-08,6700,WR,DET,13.7,0,0,49,27.8,-6.5,25.3,1.846715328
Larry Fitzgerald,Main-19-FD-06,5600,WR,ARI,13.7,0,0,52.5,24.8,3,9.9,0.722627737
Keenan Allen,Main-19-FD-01,7700,WR,LAC,13.7,0,0,44.5,25.3,-6,22.3,1.627737226
DK Metcalf,Main-20-FD-16,7700,WR,SEA,13.6,0,0,48,24.8,-1.5,8.9,0.654411765
Cooper Kupp,Main-20-FD-12,6700,WR,LAR,13.6,0,0,44.5,24.8,-5,5.1,0.375
Adam Thielen,Main-20-FD-11,7900,WR,MIN,13.6,0,0,50,28.5,-7,28.3,2.080882353
Robert Woods,Main-20-FD-10,7200,WR,LAR,13.6,0,0,55,29,-3,6.1,0.448529412
Justin Jefferson,Main-20-FD-08,6600,WR,MIN,13.6,0,0,47,20.8,5.5,4.1,0.301470588
Chris Godwin,Main-20-FD-06,7700,WR,TB,13.6,0,0,55,26,3,7.3,0.536764706
DeVante Parker,Main-19-FD-16,6900,WR,MIA,13.6,0,0,46,22.3,1.5,19.6,1.441176471
DeVante Parker,Main-19-FD-14,7200,WR,MIA,13.6,0,0,47,21,5,3.8,0.279411765
Tyler Lockett,Main-19-FD-07,6500,WR,SEA,13.6,0,0,49,26,-3,14.3,1.051470588
Brandin Cooks,Main-19-FD-04,7300,WR,LAR,13.6,0,0,48.5,28.8,-9,10.1,0.742647059
Julian Edelman,Main-19-FD-03,6900,WR,NE,13.6,0,0,43,31.8,-20.5,15.7,1.154411765
Mike Evans,Main-19-FD-03,7100,WR,TB,13.6,0,0,48,26.5,-5,41,3.014705882
JuJu Smith-Schuster,Main-19-FD-03,7500,WR,PIT,13.6,0,0,44.5,19.3,6,15.6,1.147058824
DeAndre Hopkins,Main-20-FD-14,8200,WR,ARI,13.5,0,0,47,24.75,-2.5,18.1,1.340740741
Justin Jefferson,Main-20-FD-13,7700,WR,MIN,13.5,0,0,51,30.75,-10.5,22.8,1.688888889
Robert Woods,Main-20-FD-12,6800,WR,LAR,13.5,0,0,44.5,24.8,-5,12.3,0.911111111
Cooper Kupp,Main-20-FD-10,7700,WR,LAR,13.5,0,0,55,29,-3,7.5,0.555555556
Marquise Brown,Main-20-FD-06,6300,WR,BAL,13.5,0,0,46.5,28.5,-10.5,7.7,0.57037037
Amari Cooper,Main-19-FD-05,7900,WR,DAL,13.5,0,0,46.5,25,-3.5,34.1,2.525925926
Julio Jones,Main-21-FD-01,7000,WR,TEN,13.4,11.2,0,52.5,27.75,-3,4.4,0.328358209
DeAndre Hopkins,Main-20-FD-17,8200,WR,ARI,13.4,0,0,42,20.5,1,5.5,0.410447761
Adam Thielen,Main-20-FD-15,7500,WR,MIN,13.4,0,0,46,24.75,-3.5,8.1,0.604477612
Justin Jefferson,Main-20-FD-15,7600,WR,MIN,13.4,0,0,46,24.75,-3.5,14.4,1.074626866
DeAndre Hopkins,Main-20-FD-13,8000,WR,ARI,13.4,0,0,49,23.25,2.5,15.2,1.134328358
Allen Robinson II,Main-20-FD-13,6900,WR,CHI,13.4,0,0,44,23.5,-3,10.5,0.78358209
JuJu Smith-Schuster,Main-20-FD-11,6500,WR,PIT,13.4,0,0,47,29,-11,3.9,0.291044776
Robby Anderson,Main-20-FD-09,6600,WR,CAR,13.4,0,0,51.5,20.8,10,10.8,0.805970149
Justin Jefferson,Main-20-FD-09,6800,WR,MIN,13.4,0,0,51.5,27.5,-3.5,7.9,0.589552239
Keenan Allen,Main-19-FD-16,6700,WR,LAC,13.4,0,0,45,26.3,-7.5,9.1,0.679104478
Amari Cooper,Main-19-FD-16,7700,WR,DAL,13.4,0,0,47,24.5,-2,4.4,0.328358209
Julio Jones,Main-19-FD-15,7500,WR,ATL,13.4,0,0,50,19.8,10.5,31.9,2.380597015
Cooper Kupp,Main-19-FD-13,7800,WR,LAR,13.4,0,0,47,24.8,-2.5,15.5,1.156716418
DJ Chark Jr.,Main-19-FD-07,6600,WR,JAC,13.4,0,0,44.5,24.3,-4,8.8,0.656716418
Adam Thielen,Main-19-FD-01,7400,WR,MIN,13.4,0,0,47,25.3,-3.5,11.8,0.880597015
Amari Cooper,Main-19-FD-01,7500,WR,DAL,13.4,0,0,44,25.5,-7,19.6,1.462686567
Tyler Lockett,Main-19-FD-03,6600,WR,SEA,13.4,0,0,44,24.5,-5,26.9,2.007462687
Adam Thielen,Main-19-FD-03,7000,WR,MIN,13.4,0,0,43,25.8,-8.5,19.1,1.425373134
Cooper Kupp,Main-20-FD-15,7100,WR,LAR,13.3,0,0,44,30.75,-17.5,6.4,0.481203008
T.Y. Hilton,Main-20-FD-15,6800,WR,IND,13.3,0,0,51,29.25,-7.5,9.1,0.684210526
Cooper Kupp,Main-20-FD-13,6600,WR,LAR,13.3,0,0,49,25.75,-2.5,11.3,0.84962406
Allen Robinson II,Main-20-FD-08,6800,WR,CHI,13.3,0,0,41,18,5,17.7,1.330827068
Terry McLaurin,Main-20-FD-06,6900,WR,WAS,13.3,0,0,42.5,20.3,2,10.9,0.819548872
DJ Moore,Main-20-FD-06,6800,WR,CAR,13.3,0,0,45,23.5,-2,11.8,0.887218045
Terry McLaurin,Main-20-FD-05,6300,WR,WAS,13.3,0,0,45,19,7,4.1,0.308270677
T.Y. Hilton,Main-19-FD-08,7600,WR,IND,13.3,0,0,41,23.5,-6,6.4,0.481203008
Larry Fitzgerald,Main-19-FD-03,5900,WR,ARI,13.3,0,0,46,24.3,-2.5,12.1,0.909774436
Terry McLaurin,Main-21-FD-01,6900,WR,WAS,13.2,11.3,0,44.5,22.75,-1,8.2,0.621212121
Tyler Lockett,Main-20-FD-13,7900,WR,SEA,13.2,0,0,48.5,29.75,-11,9.3,0.704545455
Calvin Ridley,Main-20-FD-11,7800,WR,ATL,13.2,0,0,49.5,23,3.5,11.5,0.871212121
Justin Jefferson,Main-20-FD-11,6700,WR,MIN,13.2,0,0,50,28.5,-7,16.1,1.21969697
Diontae Johnson,Main-20-FD-11,6400,WR,PIT,13.2,0,0,47,29,-11,17.1,1.295454545
Courtland Sutton,Main-19-FD-16,7100,WR,DEN,13.2,0,0,40,24.8,-9.5,6.6,0.5
A.J. Brown,Main-19-FD-16,7200,WR,TEN,13.2,0,0,49,22.8,3.5,14.8,1.121212121
Keenan Allen,Main-19-FD-15,6800,WR,LAC,13.2,0,0,45,22,1,14.4,1.090909091
Julian Edelman,Main-19-FD-05,6500,WR,NE,13.2,0,0,42,28.8,-15.5,21,1.590909091
Allen Robinson II,Main-19-FD-05,6900,WR,CHI,13.2,0,0,39.5,23,-6.5,25.2,1.909090909
Adam Thielen,Main-19-FD-05,6900,WR,MIN,13.2,0,0,44,24.8,-5.5,28.5,2.159090909
Kenny Golladay,Main-19-FD-04,6700,WR,DET,13.2,0,0,54.5,23.5,7.5,21.2,1.606060606
Chris Godwin,Main-20-FD-03,7900,WR,TB,13.2,0,0,42.5,24.3,-6,14.9,1.128787879
Amari Cooper,Main-20-FD-03,7000,WR,DAL,13.2,0,0,58,26.3,5.5,13.1,0.992424242
Corey Davis,Main-20-FD-15,6800,WR,TEN,13.1,0,0,51.5,31.3,-11,19,1.450381679
Tyler Lockett,Main-20-FD-14,7900,WR,SEA,13.1,0,0,48,31.5,-15,7.7,0.58778626
Robby Anderson,Main-20-FD-14,6500,WR,CAR,13.1,0,0,45,24.5,-4,13.7,1.045801527
Michael Thomas,Main-20-FD-14,7300,WR,NO,13.1,0,0,42.5,25.25,-8,12.4,0.946564885
Brandin Cooks,Main-20-FD-13,6500,WR,HOU,13.1,0,0,50,23.25,3.5,9,0.687022901
Robert Woods,Main-20-FD-13,7100,WR,LAR,13.1,0,0,49,25.75,-2.5,13.5,1.030534351
Chase Claypool,Main-20-FD-11,6400,WR,PIT,13.1,0,0,47,29,-11,13.9,1.061068702
Amari Cooper,Main-20-FD-07,7800,WR,DAL,13.1,0,0,44.5,22.8,-1,12,0.916030534
DJ Moore,Main-20-FD-07,6600,WR,CAR,13.1,0,0,49.5,21.3,7,23.3,1.778625954
Keenan Allen,Main-20-FD-04,6900,WR,LAC,13.1,0,0,42.5,17.5,7.5,10.2,0.778625954
Amari Cooper,Main-19-FD-17,7500,WR,DAL,13.1,0,0,47.5,30.3,-13,11.8,0.900763359
Jarvis Landry,Main-19-FD-15,7400,WR,CLE,13.1,0,0,49,26,-3,4.8,0.366412214
DJ Chark Jr.,Main-19-FD-08,6300,WR,JAC,13.1,0,0,39.5,23.3,-7,16.9,1.290076336
Adam Thielen,Main-19-FD-07,7100,WR,MIN,13.1,0,0,43.5,23,-2.5,9,0.687022901
Tyler Boyd,Main-19-FD-05,6700,WR,CIN,13.1,0,0,45,24,-3,23.3,1.778625954
Allen Robinson II,Main-20-FD-02,7000,WR,CHI,13.1,0,1.87,42.5,23.5,-4.5,4.8,0.366412214
Terry McLaurin,Main-20-FD-14,7200,WR,WAS,13,0,0,43.5,20.25,3,3.4,0.261538462
Corey Davis,Main-20-FD-14,6800,WR,TEN,13,0,0,52,29.75,-7.5,2.9,0.223076923
Michael Thomas,Main-20-FD-13,7200,WR,NO,13,0,0,46,24.25,-2.5,15,1.153846154
DJ Moore,Main-20-FD-12,7300,WR,CAR,13,0,0,50,23.5,3,8.1,0.623076923
A.J. Brown,Main-20-FD-11,7500,WR,TEN,13,0,0,50.5,22.3,6,14.2,1.092307692
DeVante Parker,Main-20-FD-06,6400,WR,MIA,13,0,0,46,28,-10,5,0.384615385
Odell Beckham Jr.,Main-20-FD-06,6700,WR,CLE,13,0,0,50,23.5,3,3.5,0.269230769
Justin Jefferson,Main-20-FD-06,5900,WR,MIN,13,0,0,53.5,28.5,-3.5,35.1,2.7
Darius Slayton,Main-20-FD-06,6000,WR,NYG,13,0,0,42.5,22.3,-2,10.8,0.830769231
Chase Claypool,Main-20-FD-06,5500,WR,PIT,13,0,0,50,26.5,-3,16.1,1.238461538
Terry McLaurin,Main-19-FD-16,6500,WR,WAS,13,0,0,42,20.5,1,12.1,0.930769231
Cooper Kupp,Main-19-FD-15,7600,WR,LAR,13,0,0,48.5,24.8,-1,13.1,1.007692308
Robert Woods,Main-19-FD-15,7500,WR,LAR,13,0,0,48.5,24.8,-1,3.7,0.284615385
Stefon Diggs,Main-19-FD-14,8000,WR,MIN,13,0,0,43.5,27.8,-12,12.2,0.938461538
John Brown,Main-19-FD-11,5900,WR,BUF,13,0,0,41.5,24.3,-7,30.2,2.323076923
Kenny Golladay,Main-19-FD-10,7700,WR,DET,13,0,0,38,15.5,7,13.2,1.015384615
Robert Woods,Main-19-FD-07,7300,WR,LAR,13,0,0,54.5,28.8,-3,11.1,0.853846154
Terry McLaurin,Main-19-FD-06,6400,WR,WAS,13,0,0,42,24,-6,24,1.846153846
Larry Fitzgerald,Main-19-FD-04,5900,WR,ARI,13,0,0,49,21.8,5.5,7.2,0.553846154
Allen Robinson II,Main-20-FD-03,6900,WR,CHI,13,0,0,46,21.8,2.5,23.3,1.792307692
DK Metcalf,Main-20-FD-03,6500,WR,SEA,13,0,0,58,31.8,-5.5,17,1.307692308
Tyler Lockett,Main-21-FD-01,6800,WR,SEA,12.9,12.4,0,49,26,-3,24,1.860465116
Julio Jones,Main-20-FD-13,8000,WR,ATL,12.9,0,0,46,21.75,2.5,12.4,0.96124031
Jamison Crowder,Main-20-FD-06,6600,WR,NYJ,12.9,0,0,46,18,10,8.3,0.643410853
Tyler Boyd,Main-20-FD-06,6100,WR,CIN,12.9,0,0,46,19.3,7.5,10.4,0.80620155
DeVante Parker,Main-20-FD-05,6400,WR,MIA,12.9,0,0,50.5,21,8.5,12,0.930232558
Odell Beckham Jr.,Main-20-FD-05,6800,WR,CLE,12.9,0,0,48.5,24.8,-1,8.92,0.691472868
Keenan Allen,Main-19-FD-14,6800,WR,LAC,12.9,0,0,42,22.8,-3.5,10.8,0.837209302
Odell Beckham Jr.,Main-19-FD-14,6800,WR,CLE,12.9,0,0,43,24.8,-6.5,4.9,0.379844961
Brandin Cooks,Main-19-FD-07,6700,WR,LAR,12.9,0,0,54.5,28.8,-3,7.9,0.612403101
Will Fuller V,Main-19-FD-06,6600,WR,HOU,12.9,0,0,54.5,25.5,3.5,6.9,0.534883721
Robert Woods,Main-19-FD-04,7100,WR,LAR,12.9,0,0,48.5,28.8,-9,22.9,1.775193798
Terry McLaurin,Main-20-FD-03,6700,WR,WAS,12.9,0,0,45,18.8,7.5,10.6,0.821705426
DJ Moore,Main-20-FD-01,7100,WR,CAR,12.9,0,1.84,48,22.5,3,7.4,0.573643411
Keenan Allen,Main-21-FD-01,7400,WR,LAC,12.8,13.4,0,44.5,21.75,1,14.5,1.1328125
DJ Moore,Main-20-FD-16,7200,WR,CAR,12.8,0,0,42,21.5,-1,6.2,0.484375
Kenny Golladay,Main-20-FD-04,7300,WR,DET,12.8,0,0,51.5,24.3,3,14.2,1.109375
Marquise Brown,Main-19-FD-04,5700,WR,BAL,12.8,0,0,47,27.3,-7.5,4.2,0.328125
Amari Cooper,Main-20-FD-02,7000,WR,DAL,12.8,0,1.83,53,28,-3,13,1.015625
Adam Thielen,Main-20-FD-02,7300,WR,MIN,12.8,0,1.83,49,22.8,3.5,4.6,0.359375
Chris Godwin,Main-20-FD-17,7400,WR,TB,12.7,0,0,51,29.3,-7.5,27.8,2.188976378
Mike Evans,Main-20-FD-15,7100,WR,TB,12.7,0,0,48.5,27.25,-6,14,1.102362205
Tyler Boyd,Main-20-FD-08,6400,WR,CIN,12.7,0,0,49.5,21,7.5,16.6,1.307086614
Odell Beckham Jr.,Main-20-FD-04,6600,WR,CLE,12.7,0,0,56.5,26.5,3.5,35.9,2.826771654
Tyler Boyd,Main-19-FD-16,6300,WR,CIN,12.7,0,0,46,23.8,-1.5,29.3,2.307086614
DeVante Parker,Main-19-FD-15,6900,WR,MIA,12.7,0,0,47,21.8,3.5,21.2,1.669291339
DJ Chark Jr.,Main-19-FD-11,6000,WR,JAC,12.7,0,0,41.5,19.5,2.5,26.4,2.078740157
Golden Tate,Main-19-FD-07,6100,WR,NYG,12.7,0,0,49.5,26.5,-3.5,11,0.866141732
John Brown,Main-19-FD-07,5900,WR,BUF,12.7,0,0,42.5,29.8,-17,16.8,1.322834646
DJ Chark Jr.,Main-19-FD-06,6500,WR,JAC,12.7,0,0,42.5,22.5,-2.5,5.8,0.456692913
JuJu Smith-Schuster,Main-19-FD-05,7300,WR,PIT,12.7,0,0,44,20.3,3.5,15,1.181102362
Brandin Cooks,Main-19-FD-02,7000,WR,LAR,12.7,0,0,52.5,27.3,-2,15.1,1.188976378
Tyler Lockett,Main-20-FD-03,6800,WR,SEA,12.7,0,0,58,31.8,-5.5,32.5,2.559055118
Mike Evans,Main-20-FD-03,7700,WR,TB,12.7,0,0,42.5,24.3,-6,13.2,1.039370079
Adam Thielen,Main-20-FD-03,7200,WR,MIN,12.7,0,0,49.5,23.3,3,10.8,0.850393701
Brandin Cooks,Main-20-FD-17,7300,WR,HOU,12.6,0,0,55.5,24.3,7,34.1,2.706349206
DJ Moore,Main-20-FD-17,6900,WR,CAR,12.6,0,0,47,20.5,6,12.6,1
Amari Cooper,Main-20-FD-16,6600,WR,DAL,12.6,0,0,50,23.5,3,14.1,1.119047619
Curtis Samuel,Main-20-FD-14,5900,WR,CAR,12.6,0,0,45,24.5,-4,12.5,0.992063492
Robby Anderson,Main-20-FD-12,6400,WR,CAR,12.6,0,0,50,23.5,3,17.4,1.380952381
Robby Anderson,Main-20-FD-10,6400,WR,CAR,12.6,0,0,49.5,21.8,6,4.1,0.325396825
Chase Claypool,Main-20-FD-09,6300,WR,PIT,12.6,0,0,44,29,-14,11.3,0.896825397
Tyler Boyd,Main-19-FD-17,6600,WR,CIN,12.6,0,0,44,20.8,2.5,8.4,0.666666667
Kenny Golladay,Main-19-FD-17,7400,WR,DET,12.6,0,0,44,15.3,13.5,8.7,0.69047619
Stefon Diggs,Main-19-FD-15,7700,WR,MIN,12.6,0,0,45,23,-1,10,0.793650794
A.J. Brown,Main-19-FD-15,6200,WR,TEN,12.6,0,0,50,26.5,-3,21.4,1.698412698
Jarvis Landry,Main-19-FD-14,7200,WR,CLE,12.6,0,0,43,24.8,-6.5,9.6,0.761904762
Odell Beckham Jr.,Main-19-FD-13,7300,WR,CLE,12.6,0,0,40,20.5,-1,4.4,0.349206349
Robert Woods,Main-19-FD-08,7000,WR,LAR,12.6,0,0,48.5,30.3,-12,5.2,0.412698413
Tyler Boyd,Main-19-FD-07,5600,WR,CIN,12.6,0,0,44.5,20.3,4,6,0.476190476
Stefon Diggs,Main-19-FD-07,6800,WR,MIN,12.6,0,0,43.5,23,-2.5,17.7,1.404761905
Julian Edelman,Main-19-FD-04,6900,WR,NE,12.6,0,0,41.5,24.3,-7,5,0.396825397
Robert Woods,Main-19-FD-02,7300,WR,LAR,12.6,0,0,52.5,27.3,-2,5.2,0.412698413
Calvin Ridley,Main-20-FD-02,7100,WR,ATL,12.6,0,1.8,53,25,3,26.4,2.095238095
DeAndre Hopkins,Main-20-FD-01,7800,WR,ARI,12.6,0,1.8,49.5,21.5,6.5,22.1,1.753968254
Marquise Brown,Main-20-FD-17,6000,WR,BAL,12.5,0,0,46,29.8,-13.5,18.6,1.488
Marquise Brown,Main-20-FD-08,5900,WR,BAL,12.5,0,0,44,24,-4,6.8,0.544
Cooper Kupp,Main-20-FD-08,7300,WR,LAR,12.5,0,0,46.5,25,-3.5,16.5,1.32
JuJu Smith-Schuster,Main-20-FD-05,7300,WR,PIT,12.5,0,0,44,25.8,-7.5,4.8,0.384
Terry McLaurin,Main-20-FD-04,6600,WR,WAS,12.5,0,0,45,15.3,14.5,16.8,1.344
Christian Kirk,Main-19-FD-15,6100,WR,ARI,12.5,0,0,49,23,3,8.1,0.648
Jarvis Landry,Main-19-FD-13,7400,WR,CLE,12.5,0,0,40,20.5,-1,10.6,0.848
Calvin Ridley,Main-19-FD-07,5500,WR,ATL,12.5,0,0,54.5,25.8,3,5,0.4
Sterling Shepard,Main-19-FD-04,6500,WR,NYG,12.5,0,0,48,25.5,-3,13.4,1.072
Chris Godwin,Main-19-FD-04,7100,WR,TB,12.5,0,0,48.5,19.8,9,35.2,2.816
Adam Thielen,Main-19-FD-02,7300,WR,MIN,12.5,0,0,43,20,3,10,0.8
JuJu Smith-Schuster,Main-20-FD-03,7000,WR,PIT,12.5,0,0,46.5,25,-3.5,14.3,1.144
JuJu Smith-Schuster,Main-20-FD-02,7100,WR,PIT,12.5,0,1.79,41,23.5,-6,8.3,0.664
Corey Davis,Main-20-FD-17,7200,WR,TEN,12.4,0,0,55.5,31.3,-7,6.4,0.516129032
Cooper Kupp,Main-20-FD-16,6800,WR,LAR,12.4,0,0,48,23.3,1.5,10.6,0.85483871
DeVante Parker,Main-20-FD-13,6800,WR,MIA,12.4,0,0,43,26.75,-10.5,5.5,0.443548387
Michael Thomas,Main-20-FD-12,7700,WR,NO,12.4,0,0,36.5,26.8,-17,7.1,0.572580645
Tyler Boyd,Main-20-FD-11,6600,WR,CIN,12.4,0,0,48,23,2,13,1.048387097
Will Fuller V,Main-20-FD-11,7100,WR,HOU,12.4,0,0,49.5,23.5,2.5,11,0.887096774
Robert Woods,Main-20-FD-08,7000,WR,LAR,12.4,0,0,46.5,25,-3.5,24.9,2.008064516
Tyler Boyd,Main-20-FD-05,6000,WR,CIN,12.4,0,0,49,18.3,12.5,6.2,0.5
CeeDee Lamb,Main-20-FD-05,5900,WR,DAL,12.4,0,0,52,29.8,-7.5,16.4,1.322580645
Darius Slayton,Main-20-FD-05,5800,WR,NYG,12.4,0,0,52,22.3,7.5,16.9,1.362903226
Tyler Boyd,Main-20-FD-04,6000,WR,CIN,12.4,0,0,50,25.5,-1,12.9,1.040322581
Breshad Perriman,Main-19-FD-17,7600,WR,TB,12.4,0,0,48,24.5,-1,21.9,1.766129032
Allen Robinson II,Main-19-FD-12,7500,WR,CHI,12.4,0,0,41,23.5,-6,22.1,1.782258065
John Brown,Main-19-FD-09,6200,WR,BUF,12.4,0,0,37,23.8,-10.5,9.6,0.774193548
Josh Gordon,Main-19-FD-05,6200,WR,NE,12.4,0,0,42,28.8,-15.5,8.4,0.677419355
Mike Evans,Main-19-FD-01,7900,WR,TB,12.4,0,0,51,26,-1,3.8,0.306451613
Josh Gordon,Main-19-FD-03,6000,WR,NE,12.4,0,0,43,31.8,-20.5,11.4,0.919354839
Adam Thielen,Main-21-FD-01,7300,WR,MIN,12.3,10.8,0,48,25.5,-3,25.7,2.089430894
DJ Moore,Main-21-FD-01,6700,WR,CAR,12.3,9.4,0,45,25.25,-5.5,12.4,1.008130081
Chris Godwin,Main-20-FD-15,7200,WR,TB,12.3,0,0,48.5,27.25,-6,11.6,0.943089431
Jarvis Landry,Main-20-FD-13,6000,WR,CLE,12.3,0,0,54,25,4,16.44,1.336585366
Tyler Boyd,Main-20-FD-10,6700,WR,CIN,12.3,0,0,45.5,19.5,6.5,7.1,0.577235772
Tyler Boyd,Main-20-FD-07,6000,WR,CIN,12.3,0,0,50,22.8,4.5,22.24,1.808130081
DeVante Parker,Main-20-FD-04,6500,WR,MIA,12.3,0,0,55,25.3,4.5,16,1.300813008
DJ Moore,Main-19-FD-12,6400,WR,CAR,12.3,0,0,46,18,10,28.4,2.308943089
Davante Adams,Main-19-FD-09,8000,WR,GB,12.3,0,0,50,27,-4,7.6,0.617886179
Courtland Sutton,Main-19-FD-08,6000,WR,DEN,12.3,0,0,41,17.5,6,8.7,0.707317073
Sterling Shepard,Main-19-FD-05,6500,WR,NYG,12.3,0,0,44,19.3,5.5,7.2,0.585365854
Courtland Sutton,Main-19-FD-05,5700,WR,DEN,12.3,0,0,46,21,4,17.2,1.398373984
Cooper Kupp,Main-19-FD-02,6800,WR,LAR,12.3,0,0,52.5,27.3,-2,15.1,1.227642276
Keenan Allen,Main-20-FD-03,7100,WR,LAC,12.3,0,0,43.5,24.8,-6,23.7,1.926829268
Mike Evans,Main-20-FD-02,7400,WR,TB,12.3,0,1.76,47,27.3,-7.5,19.9,1.617886179
Tee Higgins,Main-20-FD-11,6500,WR,CIN,12.2,0,0,48,23,2,4.1,0.336065574
Diontae Johnson,Main-20-FD-10,5700,WR,PIT,12.2,0,0,45.5,26,-6.5,20.6,1.68852459
Chase Claypool,Main-20-FD-10,6100,WR,PIT,12.2,0,0,45.5,26,-6.5,19.3,1.581967213
DJ Chark Jr.,Main-20-FD-07,6500,WR,JAC,12.2,0,0,48,20,8,3.1,0.254098361
Tee Higgins,Main-20-FD-07,5700,WR,CIN,12.2,0,0,50,22.8,4.5,16.3,1.336065574
Will Fuller V,Main-20-FD-04,6100,WR,HOU,12.2,0,0,52.5,28,-3.5,19.8,1.62295082
Tyler Boyd,Main-19-FD-14,6300,WR,CIN,12.2,0,0,43,18.3,6.5,10.7,0.87704918
Keenan Allen,Main-19-FD-09,7300,WR,LAC,12.2,0,0,50,23,4,5.5,0.450819672
Allen Robinson II,Main-19-FD-08,7100,WR,CHI,12.2,0,0,41,22.3,-3.5,8.7,0.713114754
Julian Edelman,Main-19-FD-02,7100,WR,NE,12.2,0,0,48.5,33.3,-18,7.2,0.590163934
T.Y. Hilton,Main-19-FD-03,7400,WR,IND,12.2,0,0,48,24.5,-1,16.5,1.352459016
Robert Woods,Main-20-FD-03,6600,WR,LAR,12.2,0,0,46.5,22.5,1.5,18.9,1.549180328
DJ Moore,Main-20-FD-03,6700,WR,CAR,12.2,0,0,43.5,18.8,6,7.5,0.614754098
Stefon Diggs,Main-20-FD-03,6900,WR,BUF,12.2,0,0,46.5,24,-1.5,12.9,1.057377049
Cooper Kupp,Main-20-FD-03,7100,WR,LAR,12.2,0,0,46.5,22.5,1.5,21.2,1.737704918
Robert Woods,Main-20-FD-02,6700,WR,LAR,12.2,0,2.03,46,22,2,10.3,0.844262295
Terry McLaurin,Main-20-FD-02,6500,WR,WAS,12.2,0,2.03,46.5,19.5,7.5,22,1.803278689
Chris Godwin,Main-20-FD-14,7400,WR,TB,12.1,0,0,52.5,30,-7.5,3.5,0.289256198
Tee Higgins,Main-20-FD-08,6000,WR,CIN,12.1,0,0,49.5,21,7.5,11.4,0.94214876
Keenan Allen,Main-19-FD-17,6700,WR,LAC,12.1,0,0,46,18,10,18.7,1.545454545
Jarvis Landry,Main-19-FD-17,6800,WR,CLE,12.1,0,0,44,23.3,-2.5,15.2,1.256198347
Odell Beckham Jr.,Main-19-FD-15,7200,WR,CLE,12.1,0,0,49,26,-3,10.6,0.876033058
John Brown,Main-19-FD-12,6500,WR,BUF,12.1,0,0,37,20.3,-3.5,10.9,0.900826446
Courtland Sutton,Main-19-FD-12,6800,WR,DEN,12.1,0,0,37,16.8,3.5,3.2,0.26446281
Jarvis Landry,Main-19-FD-12,6900,WR,CLE,12.1,0,0,45.5,28.3,-11,31.8,2.628099174
Kenny Golladay,Main-19-FD-12,7800,WR,DET,12.1,0,0,39,21.5,-4,8.1,0.669421488
Golden Tate,Main-19-FD-08,6100,WR,NYG,12.1,0,0,49,21.3,6.5,12.5,1.033057851
Allen Robinson II,Main-19-FD-07,7000,WR,CHI,12.1,0,0,37,20.5,-4,19.7,1.628099174
Robert Woods,Main-19-FD-06,7100,WR,LAR,12.1,0,0,49.5,26.3,-3,7.6,0.628099174
Christian Kirk,Main-19-FD-04,5900,WR,ARI,12.1,0,0,49,21.8,5.5,6.3,0.520661157
Tyler Lockett,Main-19-FD-02,6700,WR,SEA,12.1,0,0,47,21.5,4,12.9,1.066115702
Tyler Lockett,Main-19-FD-01,6800,WR,SEA,12.1,0,0,44,26.8,-9.5,10.9,0.900826446
DJ Moore,Main-19-FD-03,6500,WR,CAR,12.1,0,0,46,21.8,2.5,12.9,1.066115702
Odell Beckham Jr.,Main-20-FD-03,6800,WR,CLE,12.1,0,0,45,26.3,-7.5,7.9,0.652892562
Adam Thielen,Main-20-FD-01,6800,WR,MIN,12.1,0,2.02,44,22.5,-1,28,2.314049587
Curtis Samuel,Main-20-FD-17,6100,WR,CAR,12,0,0,47,20.5,6,15.6,1.3
Mike Evans,Main-20-FD-14,7300,WR,TB,12,0,0,52.5,30,-7.5,7.1,0.591666667
DeVante Parker,Main-20-FD-12,6500,WR,MIA,12,0,0,46,26.8,-7.5,15.9,1.325
