player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
DeAndre Hopkins,Main-20-FD-09,8800,WR,ARI,16.4,0,0,49,27.3,-5.5,4.5,0.274390244
Julio Jones,Main-20-FD-07,8300,WR,ATL,16.4,0,0,54,27.5,-1,13.7,0.835365854
Calvin Ridley,Main-20-FD-07,8400,WR,ATL,16.4,0,0,54,27.5,-1,17.4,1.06097561
Calvin Ridley,Main-20-FD-06,8600,WR,ATL,16.4,0,0,53.5,25,3.5,15.9,0.969512195
Tyreek Hill,Main-20-FD-12,8600,WR,KC,16.3,0,0,56,29.8,-3.5,51.4,3.153374233
Stefon Diggs,Main-20-FD-09,7600,WR,BUF,16.3,0,0,55,26,3,16.3,1
Tyreek Hill,Main-20-FD-08,8100,WR,KC,16.3,0,0,49,34.5,-20,23.8,1.460122699
Kenny Golladay,Main-20-FD-07,7600,WR,DET,16.3,0,0,54,26.5,1,14.4,0.883435583
Odell Beckham Jr.,Main-19-FD-01,8200,WR,CLE,16.3,0,0,44,24.8,-5.5,10.6,0.650306748
DK Metcalf,Main-20-FD-14,8600,WR,SEA,16.2,0,0,48,31.5,-15,15.1,0.932098765
Tyler Lockett,Main-20-FD-04,7500,WR,SEA,16.2,0,0,55,29.8,-4.5,4.9,0.302469136
Calvin Ridley,Main-20-FD-03,8000,WR,ATL,16.2,0,0,46,24.3,-2.5,14.2,0.87654321
A.J. Brown,Main-20-FD-17,8400,WR,TEN,16.1,0,0,55.5,31.3,-7,26.1,1.621118012
DK Metcalf,Main-20-FD-04,6900,WR,SEA,16.1,0,0,55,29.8,-4.5,12.6,0.782608696
Davante Adams,Main-19-FD-17,8400,WR,GB,16.1,0,0,44,28.8,-13.5,18.8,1.167701863
Michael Thomas,Main-19-FD-05,7700,WR,NO,16.1,0,0,46,24.5,-3,35.7,2.217391304
Amari Cooper,Main-19-FD-03,7700,WR,DAL,16.1,0,0,46.5,34.3,-22,23.8,1.47826087
A.J. Brown,Main-20-FD-15,8300,WR,TEN,16,0,0,51.5,31.3,-11,12.9,0.80625
Tyreek Hill,Main-20-FD-09,8300,WR,KC,16,0,0,51.5,30.8,-10,28.6,1.7875
Tyreek Hill,Main-20-FD-07,8000,WR,KC,16,0,0,46,26.5,-7,14.5,0.90625
Tyler Lockett,Main-19-FD-09,7500,WR,SEA,16,0,0,51,27.5,-4,33.7,2.10625
Sammy Watkins,Main-19-FD-02,7400,WR,KC,16,0,0,53.5,30.3,-7,7.9,0.49375
Michael Thomas,Main-20-FD-01,8800,WR,NO,16,0,2,48.5,26.5,-4.5,3.2,0.2
Julio Jones,Main-19-FD-11,7800,WR,ATL,15.9,0,0,49,22.8,3.5,11.7,0.735849057
Chris Godwin,Main-19-FD-11,8000,WR,TB,15.9,0,0,50.5,22.8,5,12.2,0.767295597
Mike Evans,Main-19-FD-09,8100,WR,TB,15.9,0,0,51,23.5,4,30,1.886792453
Julio Jones,Main-19-FD-08,7800,WR,ATL,15.9,0,0,48.5,20.5,7.5,20.2,1.270440252
Chris Godwin,Main-19-FD-14,7900,WR,TB,15.8,0,0,46.5,24.8,-3,12.6,0.797468354
Amari Cooper,Main-19-FD-11,8100,WR,DAL,15.8,0,0,46.5,27,-7.5,5.3,0.335443038
Keenan Allen,Main-19-FD-05,7500,WR,LAC,15.8,0,0,46,25,-4,3.8,0.240506329
Calvin Ridley,Main-21-FD-01,8100,WR,ATL,15.7,11.8,0,48,25.75,-3.5,7.6,0.484076433
DK Metcalf,Main-20-FD-13,8500,WR,SEA,15.7,0,0,48.5,29.75,-11,10.5,0.668789809
Keenan Allen,Main-20-FD-12,8200,WR,LAC,15.7,0,0,51,23.3,4.5,14,0.891719745
Tyler Lockett,Main-20-FD-09,7400,WR,SEA,15.7,0,0,55,29,-3,6,0.382165605
Chris Godwin,Main-19-FD-15,8400,WR,TB,15.7,0,0,46,25.8,-5.5,14.6,0.929936306
Chris Godwin,Main-19-FD-13,8200,WR,TB,15.7,0,0,46.5,24.8,-3,7,0.445859873
Michael Thomas,Main-19-FD-02,8500,WR,NO,15.7,0,0,52.5,25.3,2,13.9,0.885350318
Davante Adams,Main-19-FD-02,8200,WR,GB,15.7,0,0,43,23,-3,14.1,0.898089172
Stefon Diggs,Main-21-FD-01,7900,WR,BUF,15.6,15.9,0,48.5,27.5,-6.5,11.4,0.730769231
Allen Robinson II,Main-20-FD-06,7000,WR,CHI,15.6,0,0,45,21.5,2,7.8,0.5
Julio Jones,Main-19-FD-16,8000,WR,ATL,15.6,0,0,48,27.8,-7.5,21.6,1.384615385
Michael Thomas,Main-19-FD-06,8200,WR,NO,15.6,0,0,42.5,20,2.5,12.9,0.826923077
Julio Jones,Main-19-FD-04,8500,WR,ATL,15.6,0,0,46,24.8,-3.5,7.3,0.467948718
Mike Evans,Main-20-FD-17,8100,WR,TB,15.5,0,0,51,29.3,-7.5,6.1,0.393548387
Amari Cooper,Main-20-FD-04,7100,WR,DAL,15.5,0,0,56.5,30,-3.5,27.4,1.767741935
DeAndre Hopkins,Main-19-FD-11,8300,WR,HOU,15.5,0,0,51,23.5,4,11.5,0.741935484
Julio Jones,Main-19-FD-10,7900,WR,ATL,15.5,0,0,51.5,18.8,14,9.4,0.606451613
DeAndre Hopkins,Main-19-FD-04,8700,WR,HOU,15.5,0,0,47.5,26.5,-5.5,5.6,0.361290323
A.J. Brown,Main-21-FD-01,7800,WR,TEN,15.4,11.4,0,52.5,27.75,-3,12.9,0.837662338
DeAndre Hopkins,Main-21-FD-01,8200,WR,ARI,15.4,13.8,0,52.5,24.75,3,23.3,1.512987013
A.J. Brown,Main-20-FD-14,8000,WR,TEN,15.4,0,0,52,29.75,-7.5,20.7,1.344155844
Stefon Diggs,Main-20-FD-07,7500,WR,BUF,15.4,0,0,47,28.3,-9.5,7.8,0.506493506
DeAndre Hopkins,Main-19-FD-15,8600,WR,HOU,15.4,0,0,50,23.5,3,14.9,0.967532468
DeAndre Hopkins,Main-19-FD-07,8000,WR,HOU,15.4,0,0,46.5,22.5,1.5,21.1,1.37012987
Cooper Kupp,Main-19-FD-06,7800,WR,LAR,15.4,0,0,49.5,26.3,-3,3.7,0.24025974
Chris Godwin,Main-19-FD-05,7800,WR,TB,15.4,0,0,46,21.5,3,28,1.818181818
Odell Beckham Jr.,Main-19-FD-04,7900,WR,CLE,15.4,0,0,47,19.8,7.5,3,0.194805195
JuJu Smith-Schuster,Main-19-FD-02,8100,WR,PIT,15.4,0,0,47,25.5,-4,10.9,0.707792208
Tyreek Hill,Main-19-FD-01,7600,WR,KC,15.4,0,0,49,26.3,-3.5,3.1,0.201298701
Adam Thielen,Main-20-FD-17,7900,WR,MIN,15.3,0,0,54,28.5,-3,7.7,0.503267974
Chris Godwin,Main-19-FD-08,8100,WR,TB,15.3,0,0,45.5,21.8,2,8.3,0.54248366
Keenan Allen,Main-19-FD-02,7700,WR,LAC,15.3,0,0,47,24,-1,13.8,0.901960784
Kenny Golladay,Main-20-FD-06,7200,WR,DET,15.2,0,0,52.5,27.8,-3,12.5,0.822368421
Michael Thomas,Main-19-FD-07,8100,WR,NO,15.2,0,0,37,16.5,4,17.6,1.157894737
Tyler Lockett,Main-19-FD-04,6600,WR,SEA,15.2,0,0,49,27.3,-5.5,7.1,0.467105263
Sammy Watkins,Main-19-FD-03,7100,WR,KC,15.2,0,0,52,28.3,-4.5,8.9,0.585526316
Davante Adams,Main-20-FD-01,8000,WR,GB,15.2,0,1.9,44,21.5,1,34.6,2.276315789
Keenan Allen,Main-20-FD-14,8500,WR,LAC,15.1,0,0,49,25.25,-1.5,15.7,1.039735099
A.J. Brown,Main-20-FD-08,7500,WR,TEN,15.1,0,0,49.5,28.5,-7.5,10.4,0.688741722
DK Metcalf,Main-20-FD-07,7300,WR,SEA,15.1,0,0,55.5,29.5,-3.5,3.3,0.218543046
Amari Cooper,Main-20-FD-05,7800,WR,DAL,15.1,0,0,52,29.8,-7.5,3.1,0.205298013
Allen Robinson II,Main-20-FD-04,7000,WR,CHI,15.1,0,0,43.5,20,3.5,19.6,1.298013245
Julio Jones,Main-20-FD-02,8200,WR,ATL,15.1,0,1.89,53,25,3,3.4,0.225165563
Allen Robinson II,Main-20-FD-16,7500,WR,CHI,15,0,0,47,28.3,-9.5,15.3,1.02
DeAndre Hopkins,Main-20-FD-15,8600,WR,ARI,15,0,0,48.5,27.5,-6.5,25.5,1.7
DK Metcalf,Main-20-FD-15,8200,WR,SEA,15,0,0,43.5,25,-6.5,6.8,0.453333333
Calvin Ridley,Main-20-FD-14,8100,WR,ATL,15,0,0,49,23.75,1.5,22.4,1.493333333
DK Metcalf,Main-20-FD-09,8100,WR,SEA,15,0,0,55,29,-3,20.3,1.353333333
Keenan Allen,Main-20-FD-07,7000,WR,LAC,15,0,0,48,28,-8,17.5,1.166666667
A.J. Brown,Main-20-FD-07,6800,WR,TEN,15,0,0,51,26,-1,24.3,1.62
Adam Thielen,Main-20-FD-04,7100,WR,MIN,15,0,0,52.5,24.5,3.5,22.2,1.48
Cooper Kupp,Main-19-FD-08,7700,WR,LAR,15,0,0,48.5,30.3,-12,31.5,2.1
Justin Jefferson,Main-21-FD-01,8000,WR,MIN,14.9,12,0,48,25.5,-3,10.04,0.673825503
Stefon Diggs,Main-20-FD-12,7900,WR,BUF,14.9,0,0,51,27.8,-4.5,7.4,0.496644295
DeAndre Hopkins,Main-20-FD-12,8500,WR,ARI,14.9,0,0,51,26,-1,8,0.536912752
DK Metcalf,Main-20-FD-10,8300,WR,SEA,14.9,0,0,55,26,3,3.8,0.255033557
Terry McLaurin,Main-20-FD-07,7100,WR,WAS,14.9,0,0,44.5,21.8,1,18.5,1.241610738
Calvin Ridley,Main-20-FD-05,8300,WR,ATL,14.9,0,0,53.5,28,-2.5,17.6,1.181208054
Stefon Diggs,Main-20-FD-04,7000,WR,BUF,14.9,0,0,53,28,-3,14.5,0.973154362
Tyreek Hill,Main-19-FD-15,7900,WR,KC,14.9,0,0,43,26.5,-10,21.3,1.429530201
DK Metcalf,Main-20-FD-08,7800,WR,SEA,14.8,0,0,54.5,27.8,-1,34.1,2.304054054
Cooper Kupp,Main-20-FD-04,7200,WR,LAR,14.8,0,0,50,31.8,-13.5,15.2,1.027027027
Mike Evans,Main-19-FD-14,7700,WR,TB,14.8,0,0,46.5,24.8,-3,12.6,0.851351351
Chris Godwin,Main-20-FD-01,7700,WR,TB,14.8,0,2.11,48.5,22,4.5,10.9,0.736486486
Julio Jones,Main-20-FD-01,8200,WR,ATL,14.8,0,1.85,49.5,25.3,-1,20.2,1.364864865
Calvin Ridley,Main-20-FD-12,8100,WR,ATL,14.7,0,0,53,24.8,3.5,14,0.952380952
