,starting_position,finishing_position,laps_led,times_led,laps_completed,finishing_status,disqualified,race_name,name,team,series
0,7,12,0,0,400,Running,FALSE,Drydene 400,Ryan Blaney,Team Penske,1
1,27,28,0,0,392,Running,FALSE,Drydene 400,Anthony Alfredo,Our Motorsports,1
2,22,11,0,0,400,Running,FALSE,Drydene 400,Bubba Wallace,23XI Racing,1
3,19,15,0,0,400,Running,FALSE,Drydene 400,Ross Chastain,Trackhouse Racing Team,1
4,4,2,263,4,400,Running,FALSE,Drydene 400,Kyle Larson,Hendrick Motorsports,1
5,5,6,0,0,400,Running,FALSE,Drydene 400,Kevin Harvick,Stewart-Haas Racing,1
6,34,31,0,0,387,Running,FALSE,Drydene 400,Cody Ware,,1
7,11,21,0,0,396,Running,FALSE,Drydene 400,Christopher Bell,Joe Gibbs Racing,1
8,33,33,0,0,382,Running,FALSE,Drydene 400,James Davison,,1
9,17,35,0,0,335,Running,FALSE,Drydene 400,Chase Briscoe,Stewart-Haas Racing,1
10,28,13,0,0,400,Running,FALSE,Drydene 400,Kurt Busch,23XI Racing,1
11,37,34,0,0,381,Running,FALSE,Drydene 400,Josh Bilicki,Spire Motorsports,1
12,8,3,0,0,400,Running,FALSE,Drydene 400,Chase Elliott,Hendrick Motorsports,1
13,18,24,0,0,395,Running,FALSE,Drydene 400,Matt DiBenedetto,Rackley W.A.R.,1
14,25,18,0,0,399,Running,FALSE,Drydene 400,Ryan Preece,JTG Daugherty Racing,1
15,16,1,98,2,400,Running,FALSE,Drydene 400,Alex Bowman,Hendrick Motorsports,1
16,13,23,0,0,396,Running,FALSE,Drydene 400,Ryan Newman,Roush Fenway Racing,1
17,31,36,0,0,334,Engine,FALSE,Drydene 400,BJ McLeod,Live Fast Motorsports,1
18,30,10,0,0,400,Running,FALSE,Drydene 400,Cole Custer,Stewart-Haas Racing,1
19,35,29,0,0,388,Running,FALSE,Drydene 400,Quin Houff,Starcom Racing,1
20,21,25,0,0,395,Running,FALSE,Drydene 400,Michael McDowell,Front Row Motorsports,1
21,32,37,0,0,300,Accident,FALSE,Drydene 400,Aric Almirola,Stewart-Haas Racing,1
22,24,9,0,0,400,Running,FALSE,Drydene 400,Daniel Suarez,Trackhouse Racing Team,1
23,9,5,0,0,400,Running,FALSE,Drydene 400,Joey Logano,Team Penske,1
24,2,7,2,2,400,Running,FALSE,Drydene 400,Denny Hamlin,Joe Gibbs Racing,1
25,26,26,0,0,393,Running,FALSE,Drydene 400,Corey LaJoie,Spire Motorsports,1
26,12,8,0,0,400,Running,FALSE,Drydene 400,Tyler Reddick,Richard Childress Racing,1
27,10,17,0,0,400,Running,FALSE,Drydene 400,Chris Buescher,RFK Racing,1
28,14,14,0,0,400,Running,FALSE,Drydene 400,Austin Dillon,Richard Childress Racing,1
29,6,27,0,0,393,Running,FALSE,Drydene 400,Kyle Busch,Joe Gibbs Racing,1
30,36,32,0,0,383,Running,FALSE,Drydene 400,Garrett Smithley,Rick Ware Racing,1
31,1,19,16,2,399,Running,FALSE,Drydene 400,Martin Truex Jr.,Joe Gibbs Racing,1
32,15,16,0,0,400,Running,FALSE,Drydene 400,Brad Keselowski,RFK Racing,1
33,20,20,0,0,399,Running,FALSE,Drydene 400,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
34,23,22,0,0,396,Running,FALSE,Drydene 400,Erik Jones,Petty GMS Motorsports,1
35,29,30,0,0,388,Running,FALSE,Drydene 400,Josh Berry,JR Motorsports,1
36,3,4,21,1,400,Running,FALSE,Drydene 400,William Byron,Hendrick Motorsports,1
37,18,16,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Chris Buescher,RFK Racing,1
38,28,29,0,0,255,Running,FALSE,Quaker State 400 presented by Walmart,Justin Haley,Kaulig Racing,1
39,6,18,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Kyle Larson,Hendrick Motorsports,1
40,16,37,0,0,178,Suspension,FALSE,Quaker State 400 presented by Walmart,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
41,8,1,144,3,260,Running,FALSE,Quaker State 400 presented by Walmart,Kurt Busch,23XI Racing,1
42,7,6,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Tyler Reddick,Richard Childress Racing,1
43,20,23,8,1,258,Running,FALSE,Quaker State 400 presented by Walmart,Aric Almirola,Stewart-Haas Racing,1
44,23,17,1,1,260,Running,FALSE,Quaker State 400 presented by Walmart,Cole Custer,Stewart-Haas Racing,1
45,10,19,0,0,259,Running,FALSE,Quaker State 400 presented by Walmart,Joey Logano,Team Penske,1
46,19,20,0,0,259,Running,FALSE,Quaker State 400 presented by Walmart,William Byron,Hendrick Motorsports,1
47,5,3,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Martin Truex Jr.,Joe Gibbs Racing,1
48,25,27,0,0,256,Running,FALSE,Quaker State 400 presented by Walmart,Michael McDowell,Front Row Motorsports,1
49,11,15,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Chase Briscoe,Stewart-Haas Racing,1
50,9,21,0,0,259,Running,FALSE,Quaker State 400 presented by Walmart,Ross Chastain,Trackhouse Racing Team,1
51,29,28,0,0,256,Running,FALSE,Quaker State 400 presented by Walmart,Ryan Newman,Roush Fenway Racing,1
52,14,10,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Brad Keselowski,RFK Racing,1
53,17,4,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Alex Bowman,Hendrick Motorsports,1
54,12,9,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Matt DiBenedetto,Rackley W.A.R.,1
55,30,34,0,0,248,Running,FALSE,Quaker State 400 presented by Walmart,Josh Bilicki,Spire Motorsports,1
56,24,14,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Bubba Wallace,23XI Racing,1
57,33,32,0,0,253,Running,FALSE,Quaker State 400 presented by Walmart,Bayley Currey,JD Motorsports,1
58,31,33,0,0,253,Running,FALSE,Quaker State 400 presented by Walmart,Cody Ware,,1
59,35,35,0,0,248,Running,FALSE,Quaker State 400 presented by Walmart,Quin Houff,Starcom Racing,1
60,22,24,0,0,258,Running,FALSE,Quaker State 400 presented by Walmart,Erik Jones,Petty GMS Motorsports,1
61,2,2,91,3,260,Running,FALSE,Quaker State 400 presented by Walmart,Kyle Busch,Joe Gibbs Racing,1
62,1,7,13,1,260,Running,FALSE,Quaker State 400 presented by Walmart,Chase Elliott,Hendrick Motorsports,1
63,34,25,1,1,258,Running,FALSE,Quaker State 400 presented by Walmart,Ryan Preece,JTG Daugherty Racing,1
64,3,13,2,1,260,Running,FALSE,Quaker State 400 presented by Walmart,Denny Hamlin,Joe Gibbs Racing,1
65,13,12,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Austin Dillon,Richard Childress Racing,1
66,21,11,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Kevin Harvick,Stewart-Haas Racing,1
67,26,22,0,0,258,Running,FALSE,Quaker State 400 presented by Walmart,Corey LaJoie,Spire Motorsports,1
68,27,36,0,0,243,Running,FALSE,Quaker State 400 presented by Walmart,Daniel Suarez,Trackhouse Racing Team,1
69,32,26,0,0,257,Running,FALSE,Quaker State 400 presented by Walmart,Anthony Alfredo,Our Motorsports,1
70,4,8,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Christopher Bell,Joe Gibbs Racing,1
71,37,31,0,0,253,Running,FALSE,Quaker State 400 presented by Walmart,Garrett Smithley,Rick Ware Racing,1
72,36,30,0,0,254,Running,FALSE,Quaker State 400 presented by Walmart,BJ McLeod,Live Fast Motorsports,1
73,15,5,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Ryan Blaney,Team Penske,1
74,33,31,0,0,389,Running,FALSE,Coca-Cola 600,BJ McLeod,Live Fast Motorsports,1
75,7,5,5,1,400,Running,FALSE,Coca-Cola 600,Alex Bowman,Hendrick Motorsports,1
76,16,17,0,0,398,Running,FALSE,Coca-Cola 600,Joey Logano,Team Penske,1
77,23,21,0,0,397,Running,FALSE,Coca-Cola 600,Cole Custer,Stewart-Haas Racing,1
78,27,8,0,0,400,Running,FALSE,Coca-Cola 600,Chris Buescher,RFK Racing,1
79,12,38,0,0,139,Engine,FALSE,Coca-Cola 600,Kurt Busch,23XI Racing,1
80,21,23,0,0,397,Running,FALSE,Coca-Cola 600,Chase Briscoe,Stewart-Haas Racing,1
81,22,18,2,1,398,Running,FALSE,Coca-Cola 600,Matt DiBenedetto,Rackley W.A.R.,1
82,24,20,0,0,398,Running,FALSE,Coca-Cola 600,Michael McDowell,Front Row Motorsports,1
83,14,7,3,1,400,Running,FALSE,Coca-Cola 600,Denny Hamlin,Joe Gibbs Racing,1
84,26,19,0,0,398,Running,FALSE,Coca-Cola 600,Corey LaJoie,Spire Motorsports,1
85,15,9,6,3,400,Running,FALSE,Coca-Cola 600,Tyler Reddick,Richard Childress Racing,1
86,2,12,0,0,400,Running,FALSE,Coca-Cola 600,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
87,4,4,19,2,400,Running,FALSE,Coca-Cola 600,William Byron,Hendrick Motorsports,1
88,32,32,0,0,389,Running,FALSE,Coca-Cola 600,Quin Houff,Starcom Racing,1
89,9,15,0,0,398,Running,FALSE,Coca-Cola 600,Daniel Suarez,Trackhouse Racing Team,1
90,20,3,1,1,400,Running,FALSE,Coca-Cola 600,Kyle Busch,Joe Gibbs Racing,1
91,31,22,0,0,397,Running,FALSE,Coca-Cola 600,Aric Almirola,Stewart-Haas Racing,1
92,36,34,0,0,387,Running,FALSE,Coca-Cola 600,Garrett Smithley,Rick Ware Racing,1
93,35,33,0,0,388,Running,FALSE,Coca-Cola 600,James Davison,,1
94,30,28,0,0,395,Running,FALSE,Coca-Cola 600,Justin Haley,Kaulig Racing,1
95,6,6,1,1,400,Running,FALSE,Coca-Cola 600,Austin Dillon,Richard Childress Racing,1
96,19,16,0,0,398,Running,FALSE,Coca-Cola 600,Erik Jones,Petty GMS Motorsports,1
97,34,30,0,0,389,Running,FALSE,Coca-Cola 600,Cody Ware,,1
98,18,14,0,0,400,Running,FALSE,Coca-Cola 600,Bubba Wallace,23XI Racing,1
99,11,13,2,1,400,Running,FALSE,Coca-Cola 600,Ryan Blaney,Team Penske,1
100,8,29,0,0,391,Running,FALSE,Coca-Cola 600,Martin Truex Jr.,Joe Gibbs Racing,1
101,13,11,6,1,400,Running,FALSE,Coca-Cola 600,Brad Keselowski,RFK Racing,1
102,28,26,0,0,397,Running,FALSE,Coca-Cola 600,Ryan Preece,JTG Daugherty Racing,1
103,1,1,327,7,400,Running,FALSE,Coca-Cola 600,Kyle Larson,Hendrick Motorsports,1
104,25,27,0,0,396,Running,FALSE,Coca-Cola 600,Ryan Newman,Roush Fenway Racing,1
105,17,24,3,1,397,Running,FALSE,Coca-Cola 600,Christopher Bell,Joe Gibbs Racing,1
106,38,36,0,0,369,Running,FALSE,Coca-Cola 600,David Starr,JD Motorsports,1
107,3,2,22,2,400,Running,FALSE,Coca-Cola 600,Chase Elliott,Hendrick Motorsports,1
108,37,35,0,0,382,Running,FALSE,Coca-Cola 600,Josh Bilicki,Spire Motorsports,1
109,29,25,3,2,397,Running,FALSE,Coca-Cola 600,Anthony Alfredo,Our Motorsports,1
110,5,10,0,0,400,Running,FALSE,Coca-Cola 600,Kevin Harvick,Stewart-Haas Racing,1
111,10,37,0,0,359,Running,FALSE,Coca-Cola 600,Ross Chastain,Trackhouse Racing Team,1
112,34,32,0,0,92,Running,FALSE,Toyota / Save Mart 350,Garrett Smithley,Rick Ware Racing,1
113,16,12,0,0,92,Running,FALSE,Toyota / Save Mart 350,Daniel Suarez,Trackhouse Racing Team,1
114,30,6,8,2,92,Running,FALSE,Toyota / Save Mart 350,Kurt Busch,23XI Racing,1
115,14,37,0,0,40,Engine,FALSE,Toyota / Save Mart 350,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
116,9,15,0,0,92,Running,FALSE,Toyota / Save Mart 350,Brad Keselowski,RFK Racing,1
117,10,19,0,0,92,Running,FALSE,Toyota / Save Mart 350,Tyler Reddick,Richard Childress Racing,1
118,8,22,0,0,92,Running,FALSE,Toyota / Save Mart 350,Kevin Harvick,Stewart-Haas Racing,1
119,33,36,0,0,69,Rear Gear,FALSE,Toyota / Save Mart 350,Quin Houff,Starcom Racing,1
120,7,9,0,0,92,Running,FALSE,Toyota / Save Mart 350,Alex Bowman,Hendrick Motorsports,1
121,36,29,0,0,92,Running,FALSE,Toyota / Save Mart 350,Josh Bilicki,Spire Motorsports,1
122,22,18,0,0,92,Running,FALSE,Toyota / Save Mart 350,Corey LaJoie,Spire Motorsports,1
123,2,2,13,1,92,Running,FALSE,Toyota / Save Mart 350,Chase Elliott,Hendrick Motorsports,1
124,18,11,0,0,92,Running,FALSE,Toyota / Save Mart 350,Erik Jones,Petty GMS Motorsports,1
125,13,4,5,2,92,Running,FALSE,Toyota / Save Mart 350,Joey Logano,Team Penske,1
126,32,25,0,0,92,Running,FALSE,Toyota / Save Mart 350,James Davison,,1
127,25,17,0,0,92,Running,FALSE,Toyota / Save Mart 350,Chase Briscoe,Stewart-Haas Racing,1
128,3,35,5,1,76,Accident,FALSE,Toyota / Save Mart 350,William Byron,Hendrick Motorsports,1
129,23,20,0,0,92,Running,FALSE,Toyota / Save Mart 350,Cole Custer,Stewart-Haas Racing,1
130,4,8,2,1,92,Running,FALSE,Toyota / Save Mart 350,Denny Hamlin,Joe Gibbs Racing,1
131,20,24,0,0,92,Running,FALSE,Toyota / Save Mart 350,Christopher Bell,Joe Gibbs Racing,1
132,28,31,0,0,92,Running,FALSE,Toyota / Save Mart 350,Anthony Alfredo,Our Motorsports,1
133,19,3,0,0,92,Running,FALSE,Toyota / Save Mart 350,Martin Truex Jr.,Joe Gibbs Racing,1
134,29,7,0,0,92,Running,FALSE,Toyota / Save Mart 350,Ross Chastain,Trackhouse Racing Team,1
135,27,21,0,0,92,Running,FALSE,Toyota / Save Mart 350,Ryan Preece,JTG Daugherty Racing,1
136,26,27,0,0,92,Running,FALSE,Toyota / Save Mart 350,Aric Almirola,Stewart-Haas Racing,1
137,1,1,57,6,92,Running,FALSE,Toyota / Save Mart 350,Kyle Larson,Hendrick Motorsports,1
138,24,33,0,0,92,Running,FALSE,Toyota / Save Mart 350,Ryan Newman,Roush Fenway Racing,1
139,12,16,0,0,92,Running,FALSE,Toyota / Save Mart 350,Chris Buescher,RFK Racing,1
140,11,10,0,0,92,Running,FALSE,Toyota / Save Mart 350,Ryan Blaney,Team Penske,1
141,31,30,0,0,92,Running,FALSE,Toyota / Save Mart 350,Ben Rhodes,ThorSport Racing,1
142,15,14,0,0,92,Running,FALSE,Toyota / Save Mart 350,Bubba Wallace,23XI Racing,1
143,37,34,0,0,84,Accident,FALSE,Toyota / Save Mart 350,Cody Ware,,1
144,21,28,0,0,92,Running,FALSE,Toyota / Save Mart 350,Michael McDowell,Front Row Motorsports,1
145,6,13,0,0,92,Running,FALSE,Toyota / Save Mart 350,Austin Dillon,Richard Childress Racing,1
146,5,5,2,1,92,Running,FALSE,Toyota / Save Mart 350,Kyle Busch,Joe Gibbs Racing,1
147,35,26,0,0,92,Running,FALSE,Toyota / Save Mart 350,Scott Heckert,,1
148,17,23,0,0,92,Running,FALSE,Toyota / Save Mart 350,Matt DiBenedetto,Rackley W.A.R.,1
149,24,31,0,0,308,Running,FALSE,Instacart 500,Cole Custer,Stewart-Haas Racing,1
150,26,22,0,0,312,Running,FALSE,Instacart 500,Chase Briscoe,Stewart-Haas Racing,1
151,23,29,0,0,310,Running,FALSE,Instacart 500,Tyler Reddick,Richard Childress Racing,1
152,17,18,0,0,312,Running,FALSE,Instacart 500,Chris Buescher,RFK Racing,1
153,9,2,143,6,312,Running,FALSE,Instacart 500,Joey Logano,Team Penske,1
154,20,14,0,0,312,Running,FALSE,Instacart 500,Matt DiBenedetto,Rackley W.A.R.,1
155,32,11,0,0,312,Running,FALSE,Instacart 500,Aric Almirola,Stewart-Haas Racing,1
156,21,13,0,0,312,Running,FALSE,Instacart 500,Alex Bowman,Hendrick Motorsports,1
157,16,23,0,0,312,Running,FALSE,Instacart 500,Michael McDowell,Front Row Motorsports,1
158,13,17,0,0,312,Running,FALSE,Instacart 500,Austin Dillon,Richard Childress Racing,1
159,10,8,0,0,312,Running,FALSE,Instacart 500,William Byron,Hendrick Motorsports,1
160,7,25,0,0,311,Running,FALSE,Instacart 500,Kyle Busch,Joe Gibbs Racing,1
161,33,27,12,1,311,Running,FALSE,Instacart 500,Corey LaJoie,Spire Motorsports,1
162,3,3,33,3,312,Running,FALSE,Instacart 500,Denny Hamlin,Joe Gibbs Racing,1
163,11,12,1,1,312,Running,FALSE,Instacart 500,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
164,27,21,0,0,312,Running,FALSE,Instacart 500,Daniel Suarez,Trackhouse Racing Team,1
165,35,32,0,0,305,Running,FALSE,Instacart 500,Quin Houff,Starcom Racing,1
166,1,4,19,5,312,Running,FALSE,Instacart 500,Brad Keselowski,RFK Racing,1
167,37,38,0,0,15,Engine,FALSE,Instacart 500,Timmy Hill,,1
168,8,10,35,1,312,Running,FALSE,Instacart 500,Ryan Blaney,Team Penske,1
169,38,33,0,0,303,Running,FALSE,Instacart 500,James Davison,,1
170,31,36,0,0,101,Accident,FALSE,Instacart 500,Cody Ware,,1
171,29,24,0,0,312,Running,FALSE,Instacart 500,Justin Haley,Kaulig Racing,1
172,14,20,0,0,312,Running,FALSE,Instacart 500,Erik Jones,Petty GMS Motorsports,1
173,5,1,64,3,312,Running,FALSE,Instacart 500,Martin Truex Jr.,Joe Gibbs Racing,1
174,2,7,1,1,312,Running,FALSE,Instacart 500,Kyle Larson,Hendrick Motorsports,1
175,34,34,0,0,300,Running,FALSE,Instacart 500,Garrett Smithley,Rick Ware Racing,1
176,25,16,4,2,312,Running,FALSE,Instacart 500,Bubba Wallace,23XI Racing,1
177,28,37,0,0,87,Accident,FALSE,Instacart 500,Anthony Alfredo,Our Motorsports,1
178,19,28,0,0,311,Running,FALSE,Instacart 500,Ryan Newman,Roush Fenway Racing,1
179,12,15,0,0,312,Running,FALSE,Instacart 500,Kurt Busch,23XI Racing,1
180,15,26,0,0,311,Running,FALSE,Instacart 500,Ryan Preece,JTG Daugherty Racing,1
181,30,30,0,0,309,Running,FALSE,Instacart 500,BJ McLeod,Live Fast Motorsports,1
182,4,9,0,0,312,Running,FALSE,Instacart 500,Christopher Bell,Joe Gibbs Racing,1
183,18,6,0,0,312,Running,FALSE,Instacart 500,Kevin Harvick,Stewart-Haas Racing,1
184,22,19,0,0,312,Running,FALSE,Instacart 500,Ross Chastain,Trackhouse Racing Team,1
185,6,5,0,0,312,Running,FALSE,Instacart 500,Chase Elliott,Hendrick Motorsports,1
186,36,35,0,0,258,Power Steering,FALSE,Instacart 500,Josh Bilicki,Spire Motorsports,1
187,32,27,0,0,322,Running,FALSE,Folds of Honor QuikTrip 500,Anthony Alfredo,Our Motorsports,1
188,1,4,27,1,325,Running,FALSE,Folds of Honor QuikTrip 500,Denny Hamlin,Joe Gibbs Racing,1
189,29,26,0,0,323,Running,FALSE,Folds of Honor QuikTrip 500,Tyler Reddick,Richard Childress Racing,1
190,7,10,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Kevin Harvick,Stewart-Haas Racing,1
191,21,14,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Ross Chastain,Trackhouse Racing Team,1
192,12,12,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
193,8,21,0,0,323,Running,FALSE,Folds of Honor QuikTrip 500,Christopher Bell,Joe Gibbs Racing,1
194,26,30,0,0,319,Running,FALSE,Folds of Honor QuikTrip 500,Justin Haley,Kaulig Racing,1
195,4,28,0,0,321,Running,FALSE,Folds of Honor QuikTrip 500,Brad Keselowski,RFK Racing,1
196,2,9,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Martin Truex Jr.,Joe Gibbs Racing,1
197,27,18,0,0,324,Running,FALSE,Folds of Honor QuikTrip 500,Cole Custer,Stewart-Haas Racing,1
198,36,35,0,0,308,Running,FALSE,Folds of Honor QuikTrip 500,Joey Gase,,1
199,23,25,0,0,323,Running,FALSE,Folds of Honor QuikTrip 500,Ryan Preece,JTG Daugherty Racing,1
200,17,7,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Chris Buescher,RFK Racing,1
201,11,39,1,1,113,Accident,FALSE,Folds of Honor QuikTrip 500,Kurt Busch,23XI Racing,1
202,34,32,0,0,316,Running,FALSE,Folds of Honor QuikTrip 500,James Davison,,1
203,35,33,0,0,314,Running,FALSE,Folds of Honor QuikTrip 500,Quin Houff,Starcom Racing,1
204,30,29,0,0,319,Running,FALSE,Folds of Honor QuikTrip 500,Corey LaJoie,Spire Motorsports,1
205,37,37,0,0,285,Running,FALSE,Folds of Honor QuikTrip 500,Josh Bilicki,Spire Motorsports,1
206,5,38,0,0,220,Engine,FALSE,Folds of Honor QuikTrip 500,Chase Elliott,Hendrick Motorsports,1
207,14,3,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Alex Bowman,Hendrick Motorsports,1
208,25,17,1,1,324,Running,FALSE,Folds of Honor QuikTrip 500,Daniel Suarez,Trackhouse Racing Team,1
209,24,23,0,0,323,Running,FALSE,Folds of Honor QuikTrip 500,Chase Briscoe,Stewart-Haas Racing,1
210,39,22,0,0,323,Running,FALSE,Folds of Honor QuikTrip 500,Austin Cindric,Team Penske,1
211,6,2,269,5,325,Running,FALSE,Folds of Honor QuikTrip 500,Kyle Larson,Hendrick Motorsports,1
212,19,5,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Kyle Busch,Joe Gibbs Racing,1
213,3,15,0,0,324,Running,FALSE,Folds of Honor QuikTrip 500,Joey Logano,Team Penske,1
214,22,24,0,0,323,Running,FALSE,Folds of Honor QuikTrip 500,Erik Jones,Petty GMS Motorsports,1
215,38,36,0,0,305,Running,FALSE,Folds of Honor QuikTrip 500,Timmy Hill,,1
216,13,6,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Austin Dillon,Richard Childress Racing,1
217,16,20,0,0,324,Running,FALSE,Folds of Honor QuikTrip 500,Aric Almirola,Stewart-Haas Racing,1
218,18,19,0,0,324,Running,FALSE,Folds of Honor QuikTrip 500,Michael McDowell,Front Row Motorsports,1
219,33,31,0,0,316,Running,FALSE,Folds of Honor QuikTrip 500,Cody Ware,,1
220,28,13,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Ryan Newman,Roush Fenway Racing,1
221,10,1,25,3,325,Running,FALSE,Folds of Honor QuikTrip 500,Ryan Blaney,Team Penske,1
222,31,34,0,0,313,Running,FALSE,Folds of Honor QuikTrip 500,BJ McLeod,Live Fast Motorsports,1
223,9,8,2,1,325,Running,FALSE,Folds of Honor QuikTrip 500,William Byron,Hendrick Motorsports,1
224,15,16,0,0,324,Running,FALSE,Folds of Honor QuikTrip 500,Bubba Wallace,23XI Racing,1
225,20,11,0,0,325,Running,FALSE,Folds of Honor QuikTrip 500,Matt DiBenedetto,Rackley W.A.R.,1
226,4,3,28,2,95,Running,FALSE,Verizon 200 at the Brickyard,Kyle Larson,Hendrick Motorsports,1
227,14,23,27,2,95,Running,FALSE,Verizon 200 at the Brickyard,Denny Hamlin,Joe Gibbs Racing,1
228,21,20,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Kyle Busch,Joe Gibbs Racing,1
229,1,33,1,1,77,Accident,FALSE,Verizon 200 at the Brickyard,William Byron,Hendrick Motorsports,1
230,3,4,14,1,95,Running,FALSE,Verizon 200 at the Brickyard,Chase Elliott,Hendrick Motorsports,1
231,7,34,0,0,77,Accident,FALSE,Verizon 200 at the Brickyard,Joey Logano,Team Penske,1
232,6,15,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Martin Truex Jr.,Joe Gibbs Racing,1
233,16,2,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Ryan Blaney,Team Penske,1
234,25,14,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Kevin Harvick,Stewart-Haas Racing,1
235,31,24,2,1,95,Running,FALSE,Verizon 200 at the Brickyard,Brad Keselowski,RFK Racing,1
236,11,21,6,2,95,Running,FALSE,Verizon 200 at the Brickyard,Tyler Reddick,Richard Childress Racing,1
237,24,17,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Alex Bowman,Hendrick Motorsports,1
238,23,31,1,1,88,Accident,FALSE,Verizon 200 at the Brickyard,Austin Dillon,Richard Childress Racing,1
239,20,6,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Kurt Busch,23XI Racing,1
240,17,36,0,0,77,Accident,FALSE,Verizon 200 at the Brickyard,Christopher Bell,Joe Gibbs Racing,1
241,15,5,1,1,95,Running,FALSE,Verizon 200 at the Brickyard,Matt DiBenedetto,Rackley W.A.R.,1
242,19,12,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Chris Buescher,RFK Racing,1
243,9,29,0,0,93,Running,FALSE,Verizon 200 at the Brickyard,Ross Chastain,Trackhouse Racing Team,1
244,12,30,1,1,88,Accident,FALSE,Verizon 200 at the Brickyard,Michael McDowell,Front Row Motorsports,1
245,22,11,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
246,27,13,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Bubba Wallace,23XI Racing,1
247,2,26,12,1,94,Parked,FALSE,Verizon 200 at the Brickyard,Chase Briscoe,Stewart-Haas Racing,1
248,18,19,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Aric Almirola,Stewart-Haas Racing,1
249,5,37,0,0,77,Accident,FALSE,Verizon 200 at the Brickyard,Daniel Suarez,Trackhouse Racing Team,1
250,28,7,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Erik Jones,Petty GMS Motorsports,1
251,32,10,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Ryan Newman,Roush Fenway Racing,1
252,30,35,0,0,77,Accident,FALSE,Verizon 200 at the Brickyard,Ryan Preece,JTG Daugherty Racing,1
253,10,25,0,0,94,Running,FALSE,Verizon 200 at the Brickyard,Cole Custer,Stewart-Haas Racing,1
254,26,16,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Corey LaJoie,Spire Motorsports,1
255,33,38,0,0,68,Suspension,FALSE,Verizon 200 at the Brickyard,Anthony Alfredo,Our Motorsports,1
256,36,18,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Josh Bilicki,Spire Motorsports,1
257,38,22,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Quin Houff,Starcom Racing,1
258,34,32,0,0,80,Accident,FALSE,Verizon 200 at the Brickyard,James Davison,,1
259,8,1,2,1,95,Running,FALSE,Verizon 200 at the Brickyard,AJ Allmendinger,Kaulig Racing,1
260,29,8,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Justin Haley,Kaulig Racing,1
261,13,9,0,0,95,Running,FALSE,Verizon 200 at the Brickyard,Austin Cindric,Team Penske,1
262,0,0,0,0,0,,FALSE,Verizon 200 at the Brickyard,Ty Dillon,Petty GMS Motorsports,1
263,37,40,0,0,46,Accident,FALSE,Verizon 200 at the Brickyard,Cody Ware,,1
264,39,28,0,0,94,Running,FALSE,Verizon 200 at the Brickyard,Garrett Smithley,Rick Ware Racing,1
265,40,27,0,0,94,Running,FALSE,Verizon 200 at the Brickyard,Timmy Hill,,1
266,35,39,0,0,55,Rear Gear,FALSE,Verizon 200 at the Brickyard,Andy Lally,,1
267,35,34,0,0,178,Running,FALSE,FireKeepers Casino 400,Anthony Alfredo,Our Motorsports,1
