,start_lap,end_lap,reason,comment,race_name,series
79,46,53,Spin,Stage 1 Conclusion/Spin 54 Turn 4,Sport Clips Haircuts VFW Help A Hero 200,2
80,60,64,Accident,"#18, 19 Incident Turn 2",Sport Clips Haircuts VFW Help A Hero 200,2
81,92,97,Competition,Stage 2 Conclusion,Sport Clips Haircuts VFW Help A Hero 200,2
82,110,115,Accident,"#98, 44 Incident Turn 3",Sport Clips Haircuts VFW Help A Hero 200,2
83,139,142,Spin,#19 Spin Turn 4,Sport Clips Haircuts VFW Help A Hero 200,2
84,146,150,Debris,Debris frontstetch,Sport Clips Haircuts VFW Help A Hero 200,2
85,47,53,Competition,Stage 1 Conclusion,Rackley Roofing 200,3
86,79,83,Unknown,Fluid on track,Rackley Roofing 200,3
87,97,103,Competition,Stage 2 Conclusion,Rackley Roofing 200,3
88,105,108,Spin,#13 Spin Turn 4,Rackley Roofing 200,3
89,112,117,Accident,"#19, #25 Incident Backstretch",Rackley Roofing 200,3
90,10,16,Accident,#02 Incident Turn 2,Food City 300,2
91,42,51,Competition,Competition ,Food City 300,2
92,87,93,Competition,Stage 1 Conclusion,Food City 300,2
93,104,108,Accident,"#15, 44 Incident Backstretch",Food City 300,2
94,111,116,Accident,"#48, 90, 99 Incident Frontstretch",Food City 300,2
95,12,13,Competition,Competition Caution,Toyota / Save Mart 350,1
96,22,24,Competition,Stage 1 Conclusion,Toyota / Save Mart 350,1
97,33,34,Accident,#47 Incident Turn 1,Toyota / Save Mart 350,1
98,42,44,Competition,Stage 2 Conclusion,Toyota / Save Mart 350,1
99,72,74,Unknown,#00 Stopped on Track Turn 6,Toyota / Save Mart 350,1
100,78,79,Accident,"#24, 48, 4, 43, 20, 7, 42 Incident Turn 11",Toyota / Save Mart 350,1
101,87,87,Accident,"#51, 37, 21 Incident Turn 8",Toyota / Save Mart 350,1
102,89,90,Accident,"#38, 20, 12, 48 Incident Turn 4",Toyota / Save Mart 350,1
103,62,67,Competition,Competition,Xfinity 500,1
104,73,76,Accident,"#6, 34, 99 Incident Turn 4",Xfinity 500,1
105,132,140,Competition,Stage 1 Conclusion,Xfinity 500,1
106,198,203,Accident,#3 Incident Turn 2,Xfinity 500,1
107,262,269,Competition,Stage 2 Conclusion,Xfinity 500,1
108,311,319,Accident,"#7, 34, 52 Incident Turn 3",Xfinity 500,1
109,324,329,Accident,"#00, 52 Incident Turn 3",Xfinity 500,1
110,340,345,Accident,"#6, 41, 42 Incident Turn 2",Xfinity 500,1
111,359,362,Accident,"#3, 41 Incident Turn 4",Xfinity 500,1
112,379,384,Spin,#99 Spin Turn 2,Xfinity 500,1
113,437,443,Accident,#3 Incident Turn 2,Xfinity 500,1
114,456,460,Accident,"#2, 9 Incident Turn 3",Xfinity 500,1
115,462,466,Accident,"#5, 47 Incident Turn 4",Xfinity 500,1
116,473,477,Accident,#37 Incident Turn 2,Xfinity 500,1
117,495,499,Accident,"#11, 48 Incident Turn 3",Xfinity 500,1
118,6,8,Accident,#45 Incident Turn 4,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
119,32,36,Competition,Stage 1 Conclusion,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
120,41,45,Debris,Debris on track,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
121,54,56,Unknown,#4 Stopped on Track,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
122,62,66,Competition,Stage 2 Conclusion,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
123,72,77,Accident,"#1, 2, 18, 23, 26 Incident Turn 2",Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
124,82,84,Unknown,#4 Stopped on Track,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
125,115,118,Accident,"#24, 51 Incident Turn 3",Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
126,127,130,Unknown,#42 Stopped on Track,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
127,134,134,Accident,"#56, 02 Incident Turn 2",Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3
128,7,11,Accident,#10 Incident Backstretch,Goodyear 400,1
129,23,28,Accident,#18 Incident Turn 4/Competition Cuation,Goodyear 400,1
130,92,97,Competition,Stage 1 Conclusion,Goodyear 400,1
131,100,104,Accident,"#41, 38 Incident Backstretch",Goodyear 400,1
