,start_lap,end_lap,reason,comment,race_name,series
335,92,98,Competition,Stage 2 Conclusion,Ambetter Get Vaccinated 200,2
336,150,155,Accident,#23 Incident in Turn 4,Ambetter Get Vaccinated 200,2
337,27,30,Competition,Competition,Buschy McBusch Race 400,1
338,82,87,Competition,Stage 1 Conclusion,Buschy McBusch Race 400,1
339,162,167,Competition,Stage 2 Conclusion,Buschy McBusch Race 400,1
340,231,235,Debris,Debris Frontstretch,Buschy McBusch Race 400,1
341,246,249,Accident,#11 Incident Turn 1,Buschy McBusch Race 400,1
342,254,257,Accident,"#33, 47 Incident Backstretch",Buschy McBusch Race 400,1
343,259,265,Accident,"#20, 37, 47 Incident Turn 4",Buschy McBusch Race 400,1
344,22,25,Competition,Competition,FireKeepers Casino 400,1
345,32,35,Accident,#15 Incident Turn 2,FireKeepers Casino 400,1
346,62,66,Competition,Stage 1 Conclusion,FireKeepers Casino 400,1
347,122,126,Accident,"Stage 2 Conclusion / #2, 3 Incident Frontstretch",FireKeepers Casino 400,1
348,181,186,Weather,Weather,FireKeepers Casino 400,1
349,188,192,Accident,"#6, 7, 8, 19, 20, 22, 34 Incident Turn 4",FireKeepers Casino 400,1
350,72,79,Competition,Stage 1 Conclusion,ToyotaCare 250,3
351,86,98,Accident,"#1, #12 Incident Turn 3",ToyotaCare 250,3
352,101,104,Accident,"#10, #3 Incident Turn 3",ToyotaCare 250,3
353,142,150,Competition,Stage 2 Conclusion,ToyotaCare 250,3
354,154,158,Spin,#19 Spin Turn 2,ToyotaCare 250,3
355,161,165,Accident,"#1, #23 Incident Turn 2",ToyotaCare 250,3
356,167,171,Accident,"#10, #3 Incident Backstretch",ToyotaCare 250,3
357,178,181,Accident,"#10, #3 Incident Turn 4",ToyotaCare 250,3
358,183,187,Accident,"#41, #22, Incident Turn 4",ToyotaCare 250,3
359,197,209,Accident,#9 Incident Turn 1,ToyotaCare 250,3
360,214,221,Unknown,#02 Inicdent Backstretch,ToyotaCare 250,3
361,27,30,Competition,Competition Caution,Dixie Vodka 400,1
362,65,72,Unknown,Fluid on the Backstretch from #15,Dixie Vodka 400,1
363,82,87,Competition,Stage 1 Conclusion,Dixie Vodka 400,1
364,155,159,Unknown,Fluid on the Backstretch from #7,Dixie Vodka 400,1
365,162,167,Competition,Stage 2 Conclusion,Dixie Vodka 400,1
366,201,207,Accident,#10 and 12 Incident in Turn 3,Dixie Vodka 400,1
367,7,8,Unknown,#6 Stopped Turn 14,Henry 180,2
368,12,12,Competition,Stage 1 Conclusion,Henry 180,2
369,14,15,Accident,"#8, 90 Incident Turn 12",Henry 180,2
370,22,22,Competition,Stage 2 Conclusion,Henry 180,2
371,28,29,Accident,#6 Incident Turn 1,Henry 180,2
372,36,37,Unknown,#81 Stopped Turn 6,Henry 180,2
373,39,39,Accident,"#2, 7, 17, 19, 20, 22, 23, 26, 39, 54 Incident Turn 1 ",Henry 180,2
374,6,10,Spin,#48 Spin in Turn 1,Cook Out 250,2
375,27,32,Competition,Competition Caution ,Cook Out 250,2
376,43,47,Spin,#99 Spin in Turn 1,Cook Out 250,2
377,51,55,Spin,# 1 Spin in Turn 1,Cook Out 250,2
378,60,67,Accident,"#02, 2, 44, 98 Incident in Turn 4 ",Cook Out 250,2
379,90,96,Unknown,Precipitation,Cook Out 250,2
380,107,112,Spin,#92 Spin in Turn 4 ,Cook Out 250,2
381,122,131,Competition,Stage 2 Conclusion,Cook Out 250,2
382,141,145,Accident,#15 and 47 Incident in Turn 3,Cook Out 250,2
383,154,159,Spin,#26 Spin in Turn 1,Cook Out 250,2
384,177,183,Accident,#07 and 23 Incident in Turn 3,Cook Out 250,2
385,206,210,Spin,#36 Spin on the Frontstretch,Cook Out 250,2
386,12,13,Unknown,#99 and 13 Stalled on Track,Pit Boss 250,2
387,16,17,Competition,Stage 1 Conclusion,Pit Boss 250,2
388,21,22,Unknown,Fluid in Turn 6 from #44,Pit Boss 250,2
389,32,32,Competition,Stage 2 Conclusion ,Pit Boss 250,2
390,17,19,Accident,#48 Incident Turn 4,Cook Out Southern 500,1
391,27,29,Competition,Competition Caution,Cook Out Southern 500,1
392,32,35,Accident,#34 Incident backstretch,Cook Out Southern 500,1
393,48,53,Accident,"#51, 53 Incident Turn 2",Cook Out Southern 500,1
394,117,122,Competition,Stage 1 Conclusion,Cook Out Southern 500,1
395,126,129,Accident,"#18, #3 Incident Turn 2",Cook Out Southern 500,1
396,164,168,Debris,Debris frontstretch,Cook Out Southern 500,1
397,201,205,Accident,#24 Incident Turn 1,Cook Out Southern 500,1
398,232,237,Competition,Stage 2 Conclusion,Cook Out Southern 500,1
399,320,325,Spin,#12 Spin Turn 4,Cook Out Southern 500,1
400,328,331,Accident,"#9, 20 Incident Turn 1",Cook Out Southern 500,1
401,14,14,Competition,Stage 1 Conclusion,Toyota Tundra 225,3
402,28,28,Competition,Stage 2 Conclusion,Toyota Tundra 225,3
403,27,30,Competition,Competition ,GEICO 500,1
404,40,43,Spin,#28 Spin Turn 4,GEICO 500,1
405,61,66,Accident,"#2, 11, 14, 22, 23, 47 Incident Backstretch / Stage 1 Conclusion",GEICO 500,1
406,105,109,Unknown,Fluid On Backstretch From #1,GEICO 500,1
407,120,126,Accident,"#9, 11, 19, 24, 48 Incident Frontstretch / Stage 2 Conclusion",GEICO 500,1
408,173,176,Accident,#00 Incident Turn 2,GEICO 500,1
409,186,189,Debris,Debris Frontstretch,GEICO 500,1
410,27,30,Competition,Competition Caution,Alsco Uniforms 302,2
411,32,40,Accident,"#98, 31, 10, 26, 99, 17, 68, 07, 36, 8, 51, 15 Incident Turn 1",Alsco Uniforms 302,2
412,47,51,Competition,Stage 1 Conclusion,Alsco Uniforms 302,2
413,55,59,Accident,"#39, 48 Incident Turn 2",Alsco Uniforms 302,2
414,92,96,Competition,Stage 2 Conclusion,Alsco Uniforms 302,2
415,122,125,Accident,"#02, 11 Incident Turn 3",Alsco Uniforms 302,2
416,12,12,Competition,Competition Caution,Go Bowling at The Glen,1
417,22,22,Competition,Stage 1 Conclusion,Go Bowling at The Glen,1
418,26,27,Unknown,#51 Stopped on Track,Go Bowling at The Glen,1
419,42,43,Competition,Stage 2 Conclusion,Go Bowling at The Glen,1
420,22,26,Competition,Competition,Drydene 200,2
421,33,36,Accident,"#98, 26 Incident Turn 4",Drydene 200,2
422,47,54,Competition,Stage 1 Conclusion,Drydene 200,2
423,59,64,Accident,"#5, 13, 78, 92 Incident Backstretch [Red Flag: 00:10:14]",Drydene 200,2
424,69,74,Accident,"#11, 19 Incident Turn 2",Drydene 200,2
425,86,96,Accident,#90 Incident Turn 1 / Stage 2 Conclusion,Drydene 200,2
426,140,144,Unknown,Possible Fluid On Track From #26 ,Drydene 200,2
427,10,12,Debris,Debris Turn 2 / Competition,Pocono Organics CBD 325,1
428,15,17,Accident,"#2, 41 Incident Frontstretch",Pocono Organics CBD 325,1
429,27,29,Competition,Stage 1 Conclusion,Pocono Organics CBD 325,1
430,54,57,Accident,#6 Incident Turn 1,Pocono Organics CBD 325,1
431,61,63,Accident,"#7, 38 Incident Frontstretch",Pocono Organics CBD 325,1
432,73,75,Accident,#42 Incident Turn 2,Pocono Organics CBD 325,1
433,79,81,Competition,Stage 2 Conclusion,Pocono Organics CBD 325,1
434,109,111,Debris,Debris Turn 2,Pocono Organics CBD 325,1
435,22,25,Competition,Competition ,Coke Zero Sugar 400,1
436,52,55,Competition,Stage 1 Conclusion,Coke Zero Sugar 400,1
437,78,81,Accident,"#10, 37, 38, 48 Incident Turn 4",Coke Zero Sugar 400,1
438,102,105,Competition,Stage 2 Conclusion,Coke Zero Sugar 400,1
439,141,144,Accident,"#15, 51, 53 Incident Turn 4 ",Coke Zero Sugar 400,1
440,147,150,Accident,"#19, 96, 14, 8, 24, 99, 38, 2 Incident Backstretch [Red Flag: 00:14:51]",Coke Zero Sugar 400,1
441,158,163,Accident,"#9, 20, 21, 2, 18, 11, 37, 42, 41, 47, 16 Incident Turn 4",Coke Zero Sugar 400,1
442,165,165,Accident,"#4, 3, 99, 1, 5, 42, 7, 48, 43 Incident Turn 3 ",Coke Zero Sugar 400,1
443,32,37,Competition,Competition Caution,TOYOTA OWNERS 400,1
444,82,90,Competition,Stage 1 Conclusion,TOYOTA OWNERS 400,1
445,142,147,Spin,#6 Spin Turn 3,TOYOTA OWNERS 400,1
446,237,247,Competition,Stage 2 Conclusion,TOYOTA OWNERS 400,1
447,382,388,Accident,#4 Incident Turn 1,TOYOTA OWNERS 400,1
448,27,30,Spin,#99 Spin in Turn 4,Contender Boats 250,2
449,42,47,Competition,Stage 1 Conclusion,Contender Boats 250,2
450,69,74,Unknown,Fluid in Turn 1 from #99,Contender Boats 250,2
451,82,87,Competition,Stage 2 Conclusion,Contender Boats 250,2
452,99,102,Accident,#7 and 98 Incident on the Backstretch,Contender Boats 250,2
453,111,115,Unknown,Fluid in Turn 4 from #15,Contender Boats 250,2
454,166,172,Accident,#9 and 13 Incident in Turn 3,Contender Boats 250,2
455,174,177,Accident,#16 and 19 Incident in Turn 1,Contender Boats 250,2
456,3,4,Accident,"#48, 02 Incident Turn 6",Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2
457,12,13,Unknown,#74 Stopped On Track,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2
458,21,22,Competition,Possible Fluid Turn 10 / Stage 1 Conclusion,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2
459,30,32,Debris,Debris Turn 11 [Red Flag:  00:04:41],Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2
460,37,37,Debris,Debris,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2
461,42,42,Competition,Stage 2 Conclusion,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2
462,65,66,Accident,#44 Incident Turn 14,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2
463,14,17,Spin,#15 Spin Turn 3,Pinty's Truck Race on Dirt,3
464,28,31,Unknown,#42 Stalled On Frontstretch,Pinty's Truck Race on Dirt,3
465,36,39,Accident,"#18, 22, 26 Incident Turn 2",Pinty's Truck Race on Dirt,3
466,41,41,Competition,Stage 1 Conclusion,Pinty's Truck Race on Dirt,3
467,50,57,Accident,"#4, 19, 25, 88 Incident Turn 1 [Red Flag: 00:07:07]",Pinty's Truck Race on Dirt,3
468,64,68,Spin,#10 Spin Turn 2,Pinty's Truck Race on Dirt,3
469,71,75,Unknown,#6 Stopped On Track,Pinty's Truck Race on Dirt,3
470,81,84,Spin,#33 Spin Turn 4,Pinty's Truck Race on Dirt,3
471,91,91,Competition,Stage 2 Conclusion,Pinty's Truck Race on Dirt,3
472,100,107,Accident,"#30, 44, 45, 56 Incident Turn 3 [Red Flag: 00:05:17]",Pinty's Truck Race on Dirt,3
473,120,125,Accident,"#13, 18 Incident Backstretch",Pinty's Truck Race on Dirt,3
474,133,138,Accident,#49 Incident Turn 4 [Red Flag: 00:04:04],Pinty's Truck Race on Dirt,3
475,32,36,Competition,Competition,Federated Auto Parts 400 Salute to First Responders,1
476,42,47,Accident,#1 Incident Turn 1 ,Federated Auto Parts 400 Salute to First Responders,1
477,82,88,Competition,Stage 1 Conclusion,Federated Auto Parts 400 Salute to First Responders,1
478,237,244,Competition,Stage 2 Conclusion,Federated Auto Parts 400 Salute to First Responders,1
479,251,254,Accident,#23 Incident Turn 1,Federated Auto Parts 400 Salute to First Responders,1
480,2,4,Unknown,#90 Stalled Turn 7,Pennzoil 150 at the Brickyard,2
481,17,18,Debris,Debris Frontstretch,Pennzoil 150 at the Brickyard,2
482,22,23,Competition,Stage 1 Conclusion,Pennzoil 150 at the Brickyard,2
483,30,32,Unknown,#61 Stalled Turn 14,Pennzoil 150 at the Brickyard,2
484,39,43,Competition,#24 Stalled Frontstretch / Stage 2 Conclusion,Pennzoil 150 at the Brickyard,2
485,12,13,Competition,Competition,Bank of America ROVAL 400,1
486,21,22,Accident,#6 Incident Turn 14,Bank of America ROVAL 400,1
487,27,29,Competition,Stage 1 Conclusion,Bank of America ROVAL 400,1
488,35,35,Accident,"#47, 14 Incident Turn 17",Bank of America ROVAL 400,1
489,52,53,Competition,Stage 2 Conclusion,Bank of America ROVAL 400,1
490,56,57,Accident,"#4, 9, 41 Incident Turn 8",Bank of America ROVAL 400,1
491,88,89,Debris,Debris,Bank of America ROVAL 400,1
492,94,95,Accident,"#7, 41, 52 Incident Turn 2",Bank of America ROVAL 400,1
493,100,101,Accident,#4 Incident Turn 1,Bank of America ROVAL 400,1
494,8,12,Accident,#2 Incident Turn 2,SpeedyCash.com 220,3
495,22,29,Accident,#2 Incident Turn 2,SpeedyCash.com 220,3
496,34,40,Spin,#49 Spin Turn 2 / Stage 1 Conclusion,SpeedyCash.com 220,3
497,53,58,Accident,"#52, 42 Incident Turn 3",SpeedyCash.com 220,3
498,62,65,Unknown,#10 Stopped on track,SpeedyCash.com 220,3
499,70,77,Accident,#51 Incident Turn 2 / Stage 2 Conclusion,SpeedyCash.com 220,3
500,9,9,Unknown,#99 Stalled on Track,EchoPark Texas Grand Prix,1
501,17,18,Competition,Stage 1 Conclusion,EchoPark Texas Grand Prix,1
502,20,24,Accident,"#4, 12, 20, 23, 47 Incident on the Backstretch",EchoPark Texas Grand Prix,1
503,26,28,Accident,#19 and 41 Incident on the Backstretch [Red: 20:54],EchoPark Texas Grand Prix,1
504,34,35,Competition,Stage 2 Conclusion,EchoPark Texas Grand Prix,1
505,54,54,Weather,Inclement Weather/Visibility,EchoPark Texas Grand Prix,1
506,2,4,Accident,"#9, 17 Incident Turn 2",B&L Transport 170 at Mid-Ohio,2
507,9,12,Unknown,Fluid On Track From #44 Turn 3,B&L Transport 170 at Mid-Ohio,2
508,27,30,Competition,Stage 1 Conclusion,B&L Transport 170 at Mid-Ohio,2
509,42,43,Unknown,#51 Stopped on Course at Acura Bridge,B&L Transport 170 at Mid-Ohio,2
510,52,55,Competition,Stage 2 Conclusion,B&L Transport 170 at Mid-Ohio,2
511,70,71,Accident,#10 Incident Turn 4,B&L Transport 170 at Mid-Ohio,2
512,7,23,Accident,"#11, 18, 19 and 48 Incident in Turn 1 [Red: 1:41:22] ",Foxwoods Resort Casino 301,1
513,33,38,Spin,#23 and 38 Spin in Turn 4,Foxwoods Resort Casino 301,1
514,77,82,Competition,Stage 1 Conclusion,Foxwoods Resort Casino 301,1
515,129,135,Accident,#00 and 6 Incident in Turn 3,Foxwoods Resort Casino 301,1
516,140,144,Accident,#17 and 23 Incident on the Backstretch,Foxwoods Resort Casino 301,1
517,187,192,Competition,Stage 2 Conclusion,Foxwoods Resort Casino 301,1
518,32,38,Competition,Stage 1 Conclusion,North Carolina Education Lottery 200,3
519,51,54,Accident,"#15, 32 Incident Turn 4",North Carolina Education Lottery 200,3
520,56,59,Accident,"#2, 23, 38 Incident Turn 4",North Carolina Education Lottery 200,3
521,62,68,Competition,Stage 2 Conclusion,North Carolina Education Lottery 200,3
522,116,124,Accident,"#13, 14, 51 Incident Frontstretch",North Carolina Education Lottery 200,3
523,3,3,Debris,Debris On Backstretch,O’Reilly Auto Parts 253 At DAYTONA,1
524,13,13,Debris,Debris Turn 12,O’Reilly Auto Parts 253 At DAYTONA,1
525,18,19,Competition,Stage 1 Conclusion,O’Reilly Auto Parts 253 At DAYTONA,1
526,28,29,Accident,"#12, 42 Incident Turn 6",O’Reilly Auto Parts 253 At DAYTONA,1
527,36,37,Competition,Stage 2 Conclusion,O’Reilly Auto Parts 253 At DAYTONA,1
528,57,58,Weather,Weather,O’Reilly Auto Parts 253 At DAYTONA,1
529,60,60,Accident,#8 Incident Turn 3,O’Reilly Auto Parts 253 At DAYTONA,1
530,62,62,Accident,"#7, 9 Incident Turn 5",O’Reilly Auto Parts 253 At DAYTONA,1
531,22,25,Competition,Competition Caution,Kansas Lottery 300,2
532,30,37,Accident,#26 and 48 Incident on the Frontstretch,Kansas Lottery 300,2
533,47,51,Competition,Stage 1 Conclusion,Kansas Lottery 300,2
534,92,96,Competition,Stage 2 Conclusion,Kansas Lottery 300,2
535,98,102,Accident,"#2, 9 and 18 Incident on the Backstretch",Kansas Lottery 300,2
536,105,107,Spin,#07 Spin in Turn 2,Kansas Lottery 300,2
537,137,140,Accident,#5 Incident in Turn 2,Kansas Lottery 300,2
538,156,159,Debris,Debris in Turn 2 from 07,Kansas Lottery 300,2
539,161,163,Spin,#19 Spin in Turn 2,Kansas Lottery 300,2
540,180,184,Accident,"#8, 9 and 20 Incident on the Frontstretch",Kansas Lottery 300,2
541,22,24,Competition,Competition Caution,Credit Karma Money 250,2
542,42,46,Competition,Stage 1 Conclusion,Credit Karma Money 250,2
543,52,55,Accident,"#61, 5 Incident Frontstretch",Credit Karma Money 250,2
544,64,66,Spin,#31 Spin Turn 4,Credit Karma Money 250,2
545,82,86,Competition,Stage 2 Conclusion,Credit Karma Money 250,2
546,97,101,Accident,#52 Incident Backstretch,Credit Karma Money 250,2
547,120,124,Accident,"#19, 39 Incident Turn 3",Credit Karma Money 250,2
548,148,152,Accident,#17 Incident Backstretch,Credit Karma Money 250,2
549,154,157,Accident,"#47, 68 Incident Turn ",Credit Karma Money 250,2
550,159,162,Accident,"#18, 54, 16 Incident Turn 1",Credit Karma Money 250,2
551,27,29,Competition,Competition Caution,YellaWood 500,1
552,57,64,Accident,"#5, 14, 24 and 77 Incident on the Frontstretch ",YellaWood 500,1
553,68,77,Debris,Debris in Turn 2 from #5 [Red Flag: 18:20],YellaWood 500,1
554,99,103,Accident,"8, 9, 18, 19, 37, 42, 47, 48 and 78 Incident on the Backstretch",YellaWood 500,1
555,117,117,Accident,"#12, 24, 37 and 47 Incident on the Backstretch",YellaWood 500,1
556,4,4,Unknown,#99 Stopped On Track,Jockey Made in America 250 Presented by Kwik Trip,1
557,13,16,Competition,#78 Stopped On Track / Stage 1 Conclusion,Jockey Made in America 250 Presented by Kwik Trip,1
558,31,32,Competition,Stage 2 Conclusion,Jockey Made in America 250 Presented by Kwik Trip,1
559,44,45,Unknown,#38 Stopped On Track,Jockey Made in America 250 Presented by Kwik Trip,1
560,42,48,Competition,Competition ,Bass Pro Shops Night Race,1
561,127,135,Competition,Stage 1 Conclusion,Bass Pro Shops Night Race,1
562,169,181,Accident,"#6, 17, 23, 41, 99 Incident Turn 2 ",Bass Pro Shops Night Race,1
563,221,232,Accident,"#7, 38, 77, 78, Incident Turn 4 [Red Flag: 00:07:53]",Bass Pro Shops Night Race,1
564,252,259,Competition,Stage 2 Conclusion,Bass Pro Shops Night Race,1
565,364,370,Spin,#00 Spin Turn 4,Bass Pro Shops Night Race,1
566,389,396,Accident,#00 Incident Turn 3,Bass Pro Shops Night Race,1
567,401,407,Accident,#11 Incident Turn 1 ,Bass Pro Shops Night Race,1
568,17,21,Competition,Competition Caution,LiftKits4Less.com 200,3
569,27,32,Accident,"#9, 02 Incident Turn 2",LiftKits4Less.com 200,3
570,34,36,Accident,"#42, 52 Incident Turn 1",LiftKits4Less.com 200,3
571,47,52,Competition,Stage 1 Conclusion,LiftKits4Less.com 200,3
572,82,88,Accident,"#23, 34 Incident Turn 4",LiftKits4Less.com 200,3
573,92,95,Competition,Stage 2 Conclusion,LiftKits4Less.com 200,3
574,103,106,Spin,#25 Spin Turn 4,LiftKits4Less.com 200,3
575,112,117,Accident,"#15, 34, 40, 56 Incident Frontstretch",LiftKits4Less.com 200,3
576,119,130,Accident,"#51, 16, 26, 21, 11, 33, 4, 17, 18, 98, 88, 1, 25, 30, 44, 41, 12 Incident Frontstretch [Red Flag 12:23]",LiftKits4Less.com 200,3
577,132,139,Accident,"52, 75 Incident Turn 2",LiftKits4Less.com 200,3
578,142,145,Spin,#30 Spin Turn 2,LiftKits4Less.com 200,3
579,147,147,Unknown,,LiftKits4Less.com 200,3
580,2,5,Accident,#00 Incident Turn 1,Ally 400,1
581,47,52,Spin,#8 Spin Turn 4,Ally 400,1
582,56,61,Accident,#12 Incident Turn 2,Ally 400,1
583,79,85,Accident,"#17, #77 Incident Turn 2",Ally 400,1
584,92,97,Competition,Stage 1 Conclusion,Ally 400,1
585,133,138,Spin,#23 Spin Turn 2,Ally 400,1
586,174,180,Debris,Debris on track,Ally 400,1
587,187,190,Competition,Stage 2 Conclusion,Ally 400,1
588,198,202,Spin,#37 Spin Turn 2,Ally 400,1
589,219,222,Spin,#23 Spin Frontstretch,Ally 400,1
590,228,232,Accident,#14 Incident Turn 4,Ally 400,1
591,73,76,Accident,"#26, 36, 47 Incident Turn 9",B&L Transport 170 at Mid-Ohio,2
592,5,6,Unknown,Possible Fluid On Track,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2
593,12,13,Unknown,#6 Stopped At Pit Road Exit,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2
594,17,18,Accident,"#22, 16, 98 Incident Frontstretch / Stage 1 Conclusion",Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2
595,32,34,Competition,Stage 2 Conclusion,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2
596,39,40,Unknown,#48 Stopped In Turn 5,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2
597,51,52,Debris,Debris On Backstretch,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2
598,54,54,Accident,"#61, 52, 92, 17, 2 Incident Turn 3",Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2
599,10,11,Unknown,#04 Stopped In Turn 3,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
600,14,14,Competition,Stage 1 Conclusion,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
601,24,27,Competition,#4 Stopped On Backstretch / Stage 2 Conclusion,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
602,32,35,Accident,"#40, 42 Incident Pit Road Exit",BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
603,38,38,Accident,"#45, 51, 21, 24 Incident Frontstretch",BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
604,40,41,Unknown,#16 Stopped In Turn 9 / #20 Stopped In Turn 6,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
605,43,44,Accident,"#15, 75 Incident Turn 5",BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
606,46,47,Accident,"#22, 38 Incident Turn 10",BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
607,49,49,Unknown,#10 Stopped On Pit Road Entrance,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
608,51,51,Unknown,#44 Stopped On Frontstretch,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3
609,27,30,Competition,Competition Caution,Autotrader EchoPark Automotive 500,1
610,32,39,Accident,"#42, 47, 48, 37, 23, 53, 51, 77, 6, 10, 34, 41 Incident Backstretch",Autotrader EchoPark Automotive 500,1
611,107,112,Competition,Stage 1 Conclusion,Autotrader EchoPark Automotive 500,1
612,166,170,Debris,Debris on Backstretch,Autotrader EchoPark Automotive 500,1
613,212,216,Competition,Stage 2 Conclusion,Autotrader EchoPark Automotive 500,1
614,276,280,Debris,Debris on Backstretch,Autotrader EchoPark Automotive 500,1
615,300,304,Unknown,Fluid on Track,Autotrader EchoPark Automotive 500,1
616,306,309,Accident,#38 Incident Turn 2 [Red: 11:09],Autotrader EchoPark Automotive 500,1
617,315,318,Spin,#11 Spin Backstretch,Autotrader EchoPark Automotive 500,1
618,321,325,Accident,"#19, 99 Incident Turn 3",Autotrader EchoPark Automotive 500,1
619,329,332,Accident,"#17, 11, 14 Incident Backstretch",Autotrader EchoPark Automotive 500,1
620,26,29,Unknown,Possible Fluid On Track,Toyota 200 presented by CK Power,3
621,33,38,Spin,#04 Spin Turn 4,Toyota 200 presented by CK Power,3
622,42,46,Accident,"#51, 17 Incident Turn 1",Toyota 200 presented by CK Power,3
623,57,58,Competition,Stage 1 Conclusion,Toyota 200 presented by CK Power,3
624,63,69,Unknown,Power Outage at Track [Red Flag: 00:48:38],Toyota 200 presented by CK Power,3
625,112,112,Competition,Stage 2 Conclusion,Toyota 200 presented by CK Power,3
626,114,120,Accident,"#16, 45, 38, 26, 4, 66, 98, 99, 42, 9 Incident Frontstretch",Toyota 200 presented by CK Power,3
627,157,161,Accident,"#42, 15 Incident Turn 4",Toyota 200 presented by CK Power,3
628,27,30,Competition,Competition,Pennzoil 400 presented by Jiffy Lube,1
629,47,51,Debris,Debris Frontstretch,Pennzoil 400 presented by Jiffy Lube,1
630,82,87,Competition,Stage 1 Conclusion,Pennzoil 400 presented by Jiffy Lube,1
631,162,167,Competition,Stage 2 Conclusion,Pennzoil 400 presented by Jiffy Lube,1
632,171,174,Accident,"#9, 1 Incident Turn 2",Pennzoil 400 presented by Jiffy Lube,1
633,180,184,Accident,#10 Incident Turn 1,Pennzoil 400 presented by Jiffy Lube,1
634,22,25,Competition,Competition Caution,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
635,42,47,Competition,Stage 1 Conclusion,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
636,62,66,Accident,"#10, #8 Incident Backstretch",Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
637,82,88,Competition,Stage 2 Conclusion,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
638,91,97,Accident,"#5, #6, #23, #52 Incident Frontstretch",Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
639,111,115,Accident,"#0, #99 Incident Backstretch",Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
640,122,126,Accident,#15 Incident Turn 2,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
641,135,138,Spin,#19 Spin Turn 4,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
642,159,162,Accident,"#2, #8 Incident Backstretch",Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
643,165,169,Accident,#20 Incident Turn 2,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2
644,38,46,Spin,#37 Spin in Turn 4,Blue-Emu Maximum Pain Relief 500,1
645,52,56,Accident,#1 and 43 Incident in Turn 4 [Red Flag: 18:20:44],Blue-Emu Maximum Pain Relief 500,1
646,132,140,Competition,Stage 1 Conclusion,Blue-Emu Maximum Pain Relief 500,1
647,242,247,Accident,#51 Incident in Turn 4,Blue-Emu Maximum Pain Relief 500,1
648,252,258,Accident,"#6, 10 and 21 Incident in Turn 2",Blue-Emu Maximum Pain Relief 500,1
649,262,269,Competition,Stage 2 Conclusion,Blue-Emu Maximum Pain Relief 500,1
650,278,282,Spin,#77 Spin in Turn 3,Blue-Emu Maximum Pain Relief 500,1
651,290,296,Spin,#51 Spin in Turn 2,Blue-Emu Maximum Pain Relief 500,1
652,322,327,Spin,#18 Spin in Turn 2,Blue-Emu Maximum Pain Relief 500,1
653,331,335,Spin,#38 Spin in Turn 2,Blue-Emu Maximum Pain Relief 500,1
654,341,347,Accident,#2 and 99 Incident in Turn 2,Blue-Emu Maximum Pain Relief 500,1
655,350,355,Spin,#6 Spin in Turn 2,Blue-Emu Maximum Pain Relief 500,1
656,372,377,Accident,"#2, 42 and 43 Incident in Turn 2 ",Blue-Emu Maximum Pain Relief 500,1
657,387,396,Accident,"#1, 2, 17, 18, 21, 37, 38, 43, 48, 51, 77, 99 Incident in Turn 2 [Red Flag: 21:47]",Blue-Emu Maximum Pain Relief 500,1
658,453,458,Spin,#14 Spin in Turn 3,Blue-Emu Maximum Pain Relief 500,1
659,4,13,Accident,"#3, 32, 34 Incident Turn 2",UNOH 200 presented by Ohio Logistics,3
660,23,32,Accident,#15 Incident Turn 2,UNOH 200 presented by Ohio Logistics,3
