,qb,rb1,rb2,rb3,wr1,wr2,wr3,wr4,wr5,te1,te2,dst,opp qb,opp rb1,opp rb2,opp rb3,opp wr1,opp wr2,opp wr3,opp wr4,opp wr5,opp te1,opp te2,opp dst
qb,1.0,0.2182099061512617,0.09623775063450234,0.14575230885311347,0.2773150007712885,0.4711670704363039,0.40108170498806195,0.16794214013920333,0.05952165999855947,0.17014757658442872,0.25130531184774274,0.04011047496527807,0.05501124540111983,0.14011860570804335,0.2498529586026661,0.02500517348312175,-0.04976932271555495,0.13106630239053488,0.15208425892777738,-0.05649974833552041,-0.006345418227818626,-0.08379655419343499,0.5380672540110247,-0.5155488338856693
rb1,0.2182099061512617,1.0,-0.34402367583196675,-0.10631680245995681,-0.27089864508248684,0.21009174550388995,-0.007502514825756311,-0.11408456808918178,0.10168574603065295,-0.04032059884857468,0.35830826297322826,0.14920615968279094,0.14011860570804346,0.22441295701311748,0.025326478071323984,0.23344461154348273,-0.1364688632598828,0.17321339848436873,0.2126929352322266,0.010368180857125485,-0.08118798077606437,-0.03372945242601626,0.10973832226181875,-0.3661512006025618
rb2,0.09623775063450234,-0.34402367583196675,1.0,-0.166407164054186,0.3029540630832108,0.007896925073796307,0.04181406609601885,-0.026594270781612916,-0.17293791208596207,0.06554300794586086,0.3152223796886977,-0.024677334667988375,0.24985295860266601,0.02532647807132406,0.05154680817005542,-0.08297288566835356,0.29544988871618144,0.18146550414324014,-0.03250570440335348,-0.13207299813378692,-0.06922748483972355,-0.09844846613075088,0.26136268856138295,-0.20435333894979224
rb3,0.14575230885311347,-0.10631680245995681,-0.166407164054186,1.0,0.008297055746139035,0.0030918736297350004,0.3750344299520767,0.12749190632998497,0.01896760611606193,-0.002487376889943784,-0.16973238622552633,-0.12931554803113982,0.025005173483121736,0.23344461154348276,-0.08297288566835351,-0.0019356285869036244,-0.16520623027484932,-0.0858961976419513,0.1708684612994451,0.09042560334606692,0.06678154169930137,0.057895841403864286,-0.07987498323557071,0.10491868387659409
wr1,0.2773150007712885,-0.27089864508248684,0.3029540630832108,0.008297055746139035,1.0,0.1813783210425856,-0.11863691044723762,-0.027186364931899156,-0.17913081987246707,-0.1611308247754142,-0.17988195435063656,-0.09407123825049644,-0.049769322715554974,-0.13646886325988275,0.2954498887161814,-0.16520623027484935,0.44322313294939825,-0.04501206142839747,0.02799385392554374,0.011452255937376908,-0.01534976326535655,-0.17990719432775834,-0.02890995352965412,-0.09616106960820713
wr2,0.4711670704363039,0.21009174550388995,0.007896925073796307,0.0030918736297350004,0.1813783210425856,1.0,0.10079794474329742,-0.20859241283649144,-0.1625141485937075,-0.13360202385591233,0.21861981963730306,-0.16716973580432906,0.1310663023905349,0.17321339848436873,0.18146550414324022,-0.08589619764195135,-0.04501206142839739,-0.014113740816109136,0.07471763476494392,-0.13589157990742046,-0.10042610513616258,-0.0917845903890117,0.3699585226403437,-0.2747419456928672
wr3,0.40108170498806195,-0.007502514825756311,0.04181406609601885,0.3750344299520767,-0.11863691044723762,0.10079794474329742,1.0,0.32217751098363945,-0.12819230056465225,0.12422774884659406,0.015476927078887141,-0.021923324618577628,0.15208425892777735,0.2126929352322266,-0.03250570440335345,0.17086846129944502,0.02799385392554376,0.07471763476494385,0.1208353517232131,0.053106899636277995,-0.19839615496397034,0.15795868416094586,0.16898383898795813,-0.12716887338030722
wr4,0.16794214013920333,-0.11408456808918178,-0.026594270781612916,0.12749190632998497,-0.027186364931899156,-0.20859241283649144,0.32217751098363945,1.0,-0.06480274614740704,-0.055865530041946034,-0.10004253810193882,-0.048966758966216606,-0.05649974833552046,0.0103681808571255,-0.1320729981337869,0.09042560334606692,0.011452255937377082,-0.13589157990742054,0.053106899636277995,-0.1547232475887349,0.01253707106481939,0.1777639573146801,0.046490361399551657,-0.04923768708957657
wr5,0.05952165999855947,0.10168574603065295,-0.17293791208596207,0.01896760611606193,-0.17913081987246707,-0.1625141485937075,-0.12819230056465225,-0.06480274614740704,1.0,0.28844880379260984,-0.15231391722502619,0.1036865560695843,-0.006345418227818678,-0.08118798077606436,-0.06922748483972359,0.06678154169930148,-0.01534976326535653,-0.10042610513616254,-0.1983961549639704,0.012537071064819437,0.5743367775531779,0.1653456200889348,-0.20061345480666917,-0.1549787429608893
te1,0.17014757658442872,-0.04032059884857468,0.06554300794586086,-0.002487376889943784,-0.1611308247754142,-0.13360202385591233,0.12422774884659406,-0.055865530041946034,0.28844880379260984,1.0,-0.1843138875350556,0.3973895372316214,-0.083796554193435,-0.033729452426016195,-0.09844846613075088,0.05789584140386427,-0.17990719432775848,-0.09178459038901163,0.1579586841609458,0.1777639573146801,0.1653456200889348,-0.019717629658695626,0.07452396122141017,-0.21941776810474414
