,race__race_name,start_lap,end_lap,reason,comment
347,FireKeepers Casino 400,122,126,Accident,"Stage 2 Conclusion / #2, 3 Incident Frontstretch"
348,FireKeepers Casino 400,181,186,Weather,Weather
349,FireKeepers Casino 400,188,192,Accident,"#6, 7, 8, 19, 20, 22, 34 Incident Turn 4"
350,ToyotaCare 250,72,79,Competition,Stage 1 Conclusion
351,ToyotaCare 250,86,98,Accident,"#1, #12 Incident Turn 3"
352,ToyotaCare 250,101,104,Accident,"#10, #3 Incident Turn 3"
353,ToyotaCare 250,142,150,Competition,Stage 2 Conclusion
354,ToyotaCare 250,154,158,Spin,#19 Spin Turn 2
355,ToyotaCare 250,161,165,Accident,"#1, #23 Incident Turn 2"
356,ToyotaCare 250,167,171,Accident,"#10, #3 Incident Backstretch"
357,ToyotaCare 250,178,181,Accident,"#10, #3 Incident Turn 4"
358,ToyotaCare 250,183,187,Accident,"#41, #22, Incident Turn 4"
359,ToyotaCare 250,197,209,Accident,#9 Incident Turn 1
360,ToyotaCare 250,214,221,Unknown,#02 Inicdent Backstretch
361,Dixie Vodka 400,27,30,Competition,Competition Caution
362,Dixie Vodka 400,65,72,Unknown,Fluid on the Backstretch from #15
363,Dixie Vodka 400,82,87,Competition,Stage 1 Conclusion
364,Dixie Vodka 400,155,159,Unknown,Fluid on the Backstretch from #7
365,Dixie Vodka 400,162,167,Competition,Stage 2 Conclusion
366,Dixie Vodka 400,201,207,Accident,#10 and 12 Incident in Turn 3
367,Henry 180,7,8,Unknown,#6 Stopped Turn 14
368,Henry 180,12,12,Competition,Stage 1 Conclusion
369,Henry 180,14,15,Accident,"#8, 90 Incident Turn 12"
370,Henry 180,22,22,Competition,Stage 2 Conclusion
371,Henry 180,28,29,Accident,#6 Incident Turn 1
372,Henry 180,36,37,Unknown,#81 Stopped Turn 6
373,Henry 180,39,39,Accident,"#2, 7, 17, 19, 20, 22, 23, 26, 39, 54 Incident Turn 1 "
374,Cook Out 250,6,10,Spin,#48 Spin in Turn 1
375,Cook Out 250,27,32,Competition,Competition Caution 
376,Cook Out 250,43,47,Spin,#99 Spin in Turn 1
377,Cook Out 250,51,55,Spin,# 1 Spin in Turn 1
378,Cook Out 250,60,67,Accident,"#02, 2, 44, 98 Incident in Turn 4 "
379,Cook Out 250,90,96,Unknown,Precipitation
380,Cook Out 250,107,112,Spin,#92 Spin in Turn 4 
381,Cook Out 250,122,131,Competition,Stage 2 Conclusion
382,Cook Out 250,141,145,Accident,#15 and 47 Incident in Turn 3
383,Cook Out 250,154,159,Spin,#26 Spin in Turn 1
384,Cook Out 250,177,183,Accident,#07 and 23 Incident in Turn 3
385,Cook Out 250,206,210,Spin,#36 Spin on the Frontstretch
386,Pit Boss 250,12,13,Unknown,#99 and 13 Stalled on Track
387,Pit Boss 250,16,17,Competition,Stage 1 Conclusion
388,Pit Boss 250,21,22,Unknown,Fluid in Turn 6 from #44
389,Pit Boss 250,32,32,Competition,Stage 2 Conclusion 
390,Cook Out Southern 500,17,19,Accident,#48 Incident Turn 4
391,Cook Out Southern 500,27,29,Competition,Competition Caution
392,Cook Out Southern 500,32,35,Accident,#34 Incident backstretch
393,Cook Out Southern 500,48,53,Accident,"#51, 53 Incident Turn 2"
394,Cook Out Southern 500,117,122,Competition,Stage 1 Conclusion
395,Cook Out Southern 500,126,129,Accident,"#18, #3 Incident Turn 2"
396,Cook Out Southern 500,164,168,Debris,Debris frontstretch
397,Cook Out Southern 500,201,205,Accident,#24 Incident Turn 1
398,Cook Out Southern 500,232,237,Competition,Stage 2 Conclusion
399,Cook Out Southern 500,320,325,Spin,#12 Spin Turn 4
400,Cook Out Southern 500,328,331,Accident,"#9, 20 Incident Turn 1"
401,Toyota Tundra 225,14,14,Competition,Stage 1 Conclusion
402,Toyota Tundra 225,28,28,Competition,Stage 2 Conclusion
403,GEICO 500,27,30,Competition,Competition 
404,GEICO 500,40,43,Spin,#28 Spin Turn 4
405,GEICO 500,61,66,Accident,"#2, 11, 14, 22, 23, 47 Incident Backstretch / Stage 1 Conclusion"
406,GEICO 500,105,109,Unknown,Fluid On Backstretch From #1
407,GEICO 500,120,126,Accident,"#9, 11, 19, 24, 48 Incident Frontstretch / Stage 2 Conclusion"
408,GEICO 500,173,176,Accident,#00 Incident Turn 2
409,GEICO 500,186,189,Debris,Debris Frontstretch
410,Alsco Uniforms 302,27,30,Competition,Competition Caution
411,Alsco Uniforms 302,32,40,Accident,"#98, 31, 10, 26, 99, 17, 68, 07, 36, 8, 51, 15 Incident Turn 1"
412,Alsco Uniforms 302,47,51,Competition,Stage 1 Conclusion
413,Alsco Uniforms 302,55,59,Accident,"#39, 48 Incident Turn 2"
414,Alsco Uniforms 302,92,96,Competition,Stage 2 Conclusion
415,Alsco Uniforms 302,122,125,Accident,"#02, 11 Incident Turn 3"
416,Go Bowling at The Glen,12,12,Competition,Competition Caution
417,Go Bowling at The Glen,22,22,Competition,Stage 1 Conclusion
418,Go Bowling at The Glen,26,27,Unknown,#51 Stopped on Track
419,Go Bowling at The Glen,42,43,Competition,Stage 2 Conclusion
420,Drydene 200,22,26,Competition,Competition
421,Drydene 200,33,36,Accident,"#98, 26 Incident Turn 4"
422,Drydene 200,47,54,Competition,Stage 1 Conclusion
423,Drydene 200,59,64,Accident,"#5, 13, 78, 92 Incident Backstretch [Red Flag: 00:10:14]"
424,Drydene 200,69,74,Accident,"#11, 19 Incident Turn 2"
425,Drydene 200,86,96,Accident,#90 Incident Turn 1 / Stage 2 Conclusion
426,Drydene 200,140,144,Unknown,Possible Fluid On Track From #26 
427,Pocono Organics CBD 325,10,12,Debris,Debris Turn 2 / Competition
428,Pocono Organics CBD 325,15,17,Accident,"#2, 41 Incident Frontstretch"
429,Pocono Organics CBD 325,27,29,Competition,Stage 1 Conclusion
430,Pocono Organics CBD 325,54,57,Accident,#6 Incident Turn 1
431,Pocono Organics CBD 325,61,63,Accident,"#7, 38 Incident Frontstretch"
432,Pocono Organics CBD 325,73,75,Accident,#42 Incident Turn 2
433,Pocono Organics CBD 325,79,81,Competition,Stage 2 Conclusion
434,Pocono Organics CBD 325,109,111,Debris,Debris Turn 2
435,Coke Zero Sugar 400,22,25,Competition,Competition 
436,Coke Zero Sugar 400,52,55,Competition,Stage 1 Conclusion
437,Coke Zero Sugar 400,78,81,Accident,"#10, 37, 38, 48 Incident Turn 4"
438,Coke Zero Sugar 400,102,105,Competition,Stage 2 Conclusion
439,Coke Zero Sugar 400,141,144,Accident,"#15, 51, 53 Incident Turn 4 "
440,Coke Zero Sugar 400,147,150,Accident,"#19, 96, 14, 8, 24, 99, 38, 2 Incident Backstretch [Red Flag: 00:14:51]"
441,Coke Zero Sugar 400,158,163,Accident,"#9, 20, 21, 2, 18, 11, 37, 42, 41, 47, 16 Incident Turn 4"
442,Coke Zero Sugar 400,165,165,Accident,"#4, 3, 99, 1, 5, 42, 7, 48, 43 Incident Turn 3 "
443,TOYOTA OWNERS 400,32,37,Competition,Competition Caution
444,TOYOTA OWNERS 400,82,90,Competition,Stage 1 Conclusion
445,TOYOTA OWNERS 400,142,147,Spin,#6 Spin Turn 3
446,TOYOTA OWNERS 400,237,247,Competition,Stage 2 Conclusion
447,TOYOTA OWNERS 400,382,388,Accident,#4 Incident Turn 1
448,Contender Boats 250,27,30,Spin,#99 Spin in Turn 4
449,Contender Boats 250,42,47,Competition,Stage 1 Conclusion
450,Contender Boats 250,69,74,Unknown,Fluid in Turn 1 from #99
451,Contender Boats 250,82,87,Competition,Stage 2 Conclusion
452,Contender Boats 250,99,102,Accident,#7 and 98 Incident on the Backstretch
453,Contender Boats 250,111,115,Unknown,Fluid in Turn 4 from #15
454,Contender Boats 250,166,172,Accident,#9 and 13 Incident in Turn 3
455,Contender Boats 250,174,177,Accident,#16 and 19 Incident in Turn 1
456,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,3,4,Accident,"#48, 02 Incident Turn 6"
457,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,12,13,Unknown,#74 Stopped On Track
458,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,21,22,Competition,Possible Fluid Turn 10 / Stage 1 Conclusion
459,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,30,32,Debris,Debris Turn 11 [Red Flag:  00:04:41]
460,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,37,37,Debris,Debris
461,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,42,42,Competition,Stage 2 Conclusion
462,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,65,66,Accident,#44 Incident Turn 14
463,Pinty's Truck Race on Dirt,14,17,Spin,#15 Spin Turn 3
464,Pinty's Truck Race on Dirt,28,31,Unknown,#42 Stalled On Frontstretch
465,Pinty's Truck Race on Dirt,36,39,Accident,"#18, 22, 26 Incident Turn 2"
466,Pinty's Truck Race on Dirt,41,41,Competition,Stage 1 Conclusion
467,Pinty's Truck Race on Dirt,50,57,Accident,"#4, 19, 25, 88 Incident Turn 1 [Red Flag: 00:07:07]"
468,Pinty's Truck Race on Dirt,64,68,Spin,#10 Spin Turn 2
469,Pinty's Truck Race on Dirt,71,75,Unknown,#6 Stopped On Track
470,Pinty's Truck Race on Dirt,81,84,Spin,#33 Spin Turn 4
471,Pinty's Truck Race on Dirt,91,91,Competition,Stage 2 Conclusion
472,Pinty's Truck Race on Dirt,100,107,Accident,"#30, 44, 45, 56 Incident Turn 3 [Red Flag: 00:05:17]"
473,Pinty's Truck Race on Dirt,120,125,Accident,"#13, 18 Incident Backstretch"
474,Pinty's Truck Race on Dirt,133,138,Accident,#49 Incident Turn 4 [Red Flag: 00:04:04]
475,Federated Auto Parts 400 Salute to First Responders,32,36,Competition,Competition
476,Federated Auto Parts 400 Salute to First Responders,42,47,Accident,#1 Incident Turn 1 
477,Federated Auto Parts 400 Salute to First Responders,82,88,Competition,Stage 1 Conclusion
478,Federated Auto Parts 400 Salute to First Responders,237,244,Competition,Stage 2 Conclusion
479,Federated Auto Parts 400 Salute to First Responders,251,254,Accident,#23 Incident Turn 1
480,Pennzoil 150 at the Brickyard,2,4,Unknown,#90 Stalled Turn 7
481,Pennzoil 150 at the Brickyard,17,18,Debris,Debris Frontstretch
482,Pennzoil 150 at the Brickyard,22,23,Competition,Stage 1 Conclusion
483,Pennzoil 150 at the Brickyard,30,32,Unknown,#61 Stalled Turn 14
484,Pennzoil 150 at the Brickyard,39,43,Competition,#24 Stalled Frontstretch / Stage 2 Conclusion
485,Bank of America ROVAL 400,12,13,Competition,Competition
486,Bank of America ROVAL 400,21,22,Accident,#6 Incident Turn 14
487,Bank of America ROVAL 400,27,29,Competition,Stage 1 Conclusion
488,Bank of America ROVAL 400,35,35,Accident,"#47, 14 Incident Turn 17"
489,Bank of America ROVAL 400,52,53,Competition,Stage 2 Conclusion
490,Bank of America ROVAL 400,56,57,Accident,"#4, 9, 41 Incident Turn 8"
491,Bank of America ROVAL 400,88,89,Debris,Debris
492,Bank of America ROVAL 400,94,95,Accident,"#7, 41, 52 Incident Turn 2"
493,Bank of America ROVAL 400,100,101,Accident,#4 Incident Turn 1
494,SpeedyCash.com 220,8,12,Accident,#2 Incident Turn 2
495,SpeedyCash.com 220,22,29,Accident,#2 Incident Turn 2
496,SpeedyCash.com 220,34,40,Spin,#49 Spin Turn 2 / Stage 1 Conclusion
497,SpeedyCash.com 220,53,58,Accident,"#52, 42 Incident Turn 3"
498,SpeedyCash.com 220,62,65,Unknown,#10 Stopped on track
499,SpeedyCash.com 220,70,77,Accident,#51 Incident Turn 2 / Stage 2 Conclusion
500,EchoPark Texas Grand Prix,9,9,Unknown,#99 Stalled on Track
501,EchoPark Texas Grand Prix,17,18,Competition,Stage 1 Conclusion
502,EchoPark Texas Grand Prix,20,24,Accident,"#4, 12, 20, 23, 47 Incident on the Backstretch"
503,EchoPark Texas Grand Prix,26,28,Accident,#19 and 41 Incident on the Backstretch [Red: 20:54]
504,EchoPark Texas Grand Prix,34,35,Competition,Stage 2 Conclusion
505,EchoPark Texas Grand Prix,54,54,Weather,Inclement Weather/Visibility
506,B&L Transport 170 at Mid-Ohio,2,4,Accident,"#9, 17 Incident Turn 2"
507,B&L Transport 170 at Mid-Ohio,9,12,Unknown,Fluid On Track From #44 Turn 3
508,B&L Transport 170 at Mid-Ohio,27,30,Competition,Stage 1 Conclusion
509,B&L Transport 170 at Mid-Ohio,42,43,Unknown,#51 Stopped on Course at Acura Bridge
510,B&L Transport 170 at Mid-Ohio,52,55,Competition,Stage 2 Conclusion
511,B&L Transport 170 at Mid-Ohio,70,71,Accident,#10 Incident Turn 4
512,Foxwoods Resort Casino 301,7,23,Accident,"#11, 18, 19 and 48 Incident in Turn 1 [Red: 1:41:22] "
513,Foxwoods Resort Casino 301,33,38,Spin,#23 and 38 Spin in Turn 4
514,Foxwoods Resort Casino 301,77,82,Competition,Stage 1 Conclusion
515,Foxwoods Resort Casino 301,129,135,Accident,#00 and 6 Incident in Turn 3
516,Foxwoods Resort Casino 301,140,144,Accident,#17 and 23 Incident on the Backstretch
517,Foxwoods Resort Casino 301,187,192,Competition,Stage 2 Conclusion
518,North Carolina Education Lottery 200,32,38,Competition,Stage 1 Conclusion
519,North Carolina Education Lottery 200,51,54,Accident,"#15, 32 Incident Turn 4"
520,North Carolina Education Lottery 200,56,59,Accident,"#2, 23, 38 Incident Turn 4"
521,North Carolina Education Lottery 200,62,68,Competition,Stage 2 Conclusion
522,North Carolina Education Lottery 200,116,124,Accident,"#13, 14, 51 Incident Frontstretch"
523,O’Reilly Auto Parts 253 At DAYTONA,3,3,Debris,Debris On Backstretch
524,O’Reilly Auto Parts 253 At DAYTONA,13,13,Debris,Debris Turn 12
525,O’Reilly Auto Parts 253 At DAYTONA,18,19,Competition,Stage 1 Conclusion
526,O’Reilly Auto Parts 253 At DAYTONA,28,29,Accident,"#12, 42 Incident Turn 6"
527,O’Reilly Auto Parts 253 At DAYTONA,36,37,Competition,Stage 2 Conclusion
528,O’Reilly Auto Parts 253 At DAYTONA,57,58,Weather,Weather
529,O’Reilly Auto Parts 253 At DAYTONA,60,60,Accident,#8 Incident Turn 3
530,O’Reilly Auto Parts 253 At DAYTONA,62,62,Accident,"#7, 9 Incident Turn 5"
531,Kansas Lottery 300,22,25,Competition,Competition Caution
532,Kansas Lottery 300,30,37,Accident,#26 and 48 Incident on the Frontstretch
533,Kansas Lottery 300,47,51,Competition,Stage 1 Conclusion
534,Kansas Lottery 300,92,96,Competition,Stage 2 Conclusion
535,Kansas Lottery 300,98,102,Accident,"#2, 9 and 18 Incident on the Backstretch"
536,Kansas Lottery 300,105,107,Spin,#07 Spin in Turn 2
537,Kansas Lottery 300,137,140,Accident,#5 Incident in Turn 2
538,Kansas Lottery 300,156,159,Debris,Debris in Turn 2 from 07
539,Kansas Lottery 300,161,163,Spin,#19 Spin in Turn 2
540,Kansas Lottery 300,180,184,Accident,"#8, 9 and 20 Incident on the Frontstretch"
541,Credit Karma Money 250,22,24,Competition,Competition Caution
542,Credit Karma Money 250,42,46,Competition,Stage 1 Conclusion
543,Credit Karma Money 250,52,55,Accident,"#61, 5 Incident Frontstretch"
544,Credit Karma Money 250,64,66,Spin,#31 Spin Turn 4
545,Credit Karma Money 250,82,86,Competition,Stage 2 Conclusion
546,Credit Karma Money 250,97,101,Accident,#52 Incident Backstretch
547,Credit Karma Money 250,120,124,Accident,"#19, 39 Incident Turn 3"
548,Credit Karma Money 250,148,152,Accident,#17 Incident Backstretch
549,Credit Karma Money 250,154,157,Accident,"#47, 68 Incident Turn "
550,Credit Karma Money 250,159,162,Accident,"#18, 54, 16 Incident Turn 1"
551,YellaWood 500,27,29,Competition,Competition Caution
552,YellaWood 500,57,64,Accident,"#5, 14, 24 and 77 Incident on the Frontstretch "
553,YellaWood 500,68,77,Debris,Debris in Turn 2 from #5 [Red Flag: 18:20]
554,YellaWood 500,99,103,Accident,"8, 9, 18, 19, 37, 42, 47, 48 and 78 Incident on the Backstretch"
555,YellaWood 500,117,117,Accident,"#12, 24, 37 and 47 Incident on the Backstretch"
556,Jockey Made in America 250 Presented by Kwik Trip,4,4,Unknown,#99 Stopped On Track
557,Jockey Made in America 250 Presented by Kwik Trip,13,16,Competition,#78 Stopped On Track / Stage 1 Conclusion
558,Jockey Made in America 250 Presented by Kwik Trip,31,32,Competition,Stage 2 Conclusion
559,Jockey Made in America 250 Presented by Kwik Trip,44,45,Unknown,#38 Stopped On Track
560,Bass Pro Shops Night Race,42,48,Competition,Competition 
561,Bass Pro Shops Night Race,127,135,Competition,Stage 1 Conclusion
562,Bass Pro Shops Night Race,169,181,Accident,"#6, 17, 23, 41, 99 Incident Turn 2 "
563,Bass Pro Shops Night Race,221,232,Accident,"#7, 38, 77, 78, Incident Turn 4 [Red Flag: 00:07:53]"
564,Bass Pro Shops Night Race,252,259,Competition,Stage 2 Conclusion
565,Bass Pro Shops Night Race,364,370,Spin,#00 Spin Turn 4
566,Bass Pro Shops Night Race,389,396,Accident,#00 Incident Turn 3
567,Bass Pro Shops Night Race,401,407,Accident,#11 Incident Turn 1 
568,LiftKits4Less.com 200,17,21,Competition,Competition Caution
569,LiftKits4Less.com 200,27,32,Accident,"#9, 02 Incident Turn 2"
570,LiftKits4Less.com 200,34,36,Accident,"#42, 52 Incident Turn 1"
571,LiftKits4Less.com 200,47,52,Competition,Stage 1 Conclusion
572,LiftKits4Less.com 200,82,88,Accident,"#23, 34 Incident Turn 4"
573,LiftKits4Less.com 200,92,95,Competition,Stage 2 Conclusion
574,LiftKits4Less.com 200,103,106,Spin,#25 Spin Turn 4
575,LiftKits4Less.com 200,112,117,Accident,"#15, 34, 40, 56 Incident Frontstretch"
576,LiftKits4Less.com 200,119,130,Accident,"#51, 16, 26, 21, 11, 33, 4, 17, 18, 98, 88, 1, 25, 30, 44, 41, 12 Incident Frontstretch [Red Flag 12:23]"
577,LiftKits4Less.com 200,132,139,Accident,"52, 75 Incident Turn 2"
578,LiftKits4Less.com 200,142,145,Spin,#30 Spin Turn 2
579,LiftKits4Less.com 200,147,147,Unknown,
580,Ally 400,2,5,Accident,#00 Incident Turn 1
581,Ally 400,47,52,Spin,#8 Spin Turn 4
582,Ally 400,56,61,Accident,#12 Incident Turn 2
583,Ally 400,79,85,Accident,"#17, #77 Incident Turn 2"
584,Ally 400,92,97,Competition,Stage 1 Conclusion
585,Ally 400,133,138,Spin,#23 Spin Turn 2
586,Ally 400,174,180,Debris,Debris on track
587,Ally 400,187,190,Competition,Stage 2 Conclusion
588,Ally 400,198,202,Spin,#37 Spin Turn 2
589,Ally 400,219,222,Spin,#23 Spin Frontstretch
590,Ally 400,228,232,Accident,#14 Incident Turn 4
591,B&L Transport 170 at Mid-Ohio,73,76,Accident,"#26, 36, 47 Incident Turn 9"
592,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,5,6,Unknown,Possible Fluid On Track
593,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,12,13,Unknown,#6 Stopped At Pit Road Exit
594,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,17,18,Accident,"#22, 16, 98 Incident Frontstretch / Stage 1 Conclusion"
595,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,32,34,Competition,Stage 2 Conclusion
596,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,39,40,Unknown,#48 Stopped In Turn 5
597,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,51,52,Debris,Debris On Backstretch
598,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,54,54,Accident,"#61, 52, 92, 17, 2 Incident Turn 3"
599,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,10,11,Unknown,#04 Stopped In Turn 3
600,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,14,14,Competition,Stage 1 Conclusion
601,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,24,27,Competition,#4 Stopped On Backstretch / Stage 2 Conclusion
602,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,32,35,Accident,"#40, 42 Incident Pit Road Exit"
603,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,38,38,Accident,"#45, 51, 21, 24 Incident Frontstretch"
604,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,40,41,Unknown,#16 Stopped In Turn 9 / #20 Stopped In Turn 6
605,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,43,44,Accident,"#15, 75 Incident Turn 5"
606,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,46,47,Accident,"#22, 38 Incident Turn 10"
607,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,49,49,Unknown,#10 Stopped On Pit Road Entrance
608,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,51,51,Unknown,#44 Stopped On Frontstretch
609,Autotrader EchoPark Automotive 500,27,30,Competition,Competition Caution
610,Autotrader EchoPark Automotive 500,32,39,Accident,"#42, 47, 48, 37, 23, 53, 51, 77, 6, 10, 34, 41 Incident Backstretch"
611,Autotrader EchoPark Automotive 500,107,112,Competition,Stage 1 Conclusion
612,Autotrader EchoPark Automotive 500,166,170,Debris,Debris on Backstretch
613,Autotrader EchoPark Automotive 500,212,216,Competition,Stage 2 Conclusion
614,Autotrader EchoPark Automotive 500,276,280,Debris,Debris on Backstretch
615,Autotrader EchoPark Automotive 500,300,304,Unknown,Fluid on Track
616,Autotrader EchoPark Automotive 500,306,309,Accident,#38 Incident Turn 2 [Red: 11:09]
617,Autotrader EchoPark Automotive 500,315,318,Spin,#11 Spin Backstretch
618,Autotrader EchoPark Automotive 500,321,325,Accident,"#19, 99 Incident Turn 3"
619,Autotrader EchoPark Automotive 500,329,332,Accident,"#17, 11, 14 Incident Backstretch"
620,Toyota 200 presented by CK Power,26,29,Unknown,Possible Fluid On Track
621,Toyota 200 presented by CK Power,33,38,Spin,#04 Spin Turn 4
622,Toyota 200 presented by CK Power,42,46,Accident,"#51, 17 Incident Turn 1"
623,Toyota 200 presented by CK Power,57,58,Competition,Stage 1 Conclusion
624,Toyota 200 presented by CK Power,63,69,Unknown,Power Outage at Track [Red Flag: 00:48:38]
625,Toyota 200 presented by CK Power,112,112,Competition,Stage 2 Conclusion
626,Toyota 200 presented by CK Power,114,120,Accident,"#16, 45, 38, 26, 4, 66, 98, 99, 42, 9 Incident Frontstretch"
627,Toyota 200 presented by CK Power,157,161,Accident,"#42, 15 Incident Turn 4"
628,Pennzoil 400 presented by Jiffy Lube,27,30,Competition,Competition
629,Pennzoil 400 presented by Jiffy Lube,47,51,Debris,Debris Frontstretch
630,Pennzoil 400 presented by Jiffy Lube,82,87,Competition,Stage 1 Conclusion
631,Pennzoil 400 presented by Jiffy Lube,162,167,Competition,Stage 2 Conclusion
632,Pennzoil 400 presented by Jiffy Lube,171,174,Accident,"#9, 1 Incident Turn 2"
633,Pennzoil 400 presented by Jiffy Lube,180,184,Accident,#10 Incident Turn 1
634,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,22,25,Competition,Competition Caution
635,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,42,47,Competition,Stage 1 Conclusion
636,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,62,66,Accident,"#10, #8 Incident Backstretch"
637,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,82,88,Competition,Stage 2 Conclusion
638,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,91,97,Accident,"#5, #6, #23, #52 Incident Frontstretch"
639,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,111,115,Accident,"#0, #99 Incident Backstretch"
640,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,122,126,Accident,#15 Incident Turn 2
641,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,135,138,Spin,#19 Spin Turn 4
642,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,159,162,Accident,"#2, #8 Incident Backstretch"
643,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,165,169,Accident,#20 Incident Turn 2
644,Blue-Emu Maximum Pain Relief 500,38,46,Spin,#37 Spin in Turn 4
645,Blue-Emu Maximum Pain Relief 500,52,56,Accident,#1 and 43 Incident in Turn 4 [Red Flag: 18:20:44]
646,Blue-Emu Maximum Pain Relief 500,132,140,Competition,Stage 1 Conclusion
647,Blue-Emu Maximum Pain Relief 500,242,247,Accident,#51 Incident in Turn 4
648,Blue-Emu Maximum Pain Relief 500,252,258,Accident,"#6, 10 and 21 Incident in Turn 2"
649,Blue-Emu Maximum Pain Relief 500,262,269,Competition,Stage 2 Conclusion
650,Blue-Emu Maximum Pain Relief 500,278,282,Spin,#77 Spin in Turn 3
651,Blue-Emu Maximum Pain Relief 500,290,296,Spin,#51 Spin in Turn 2
652,Blue-Emu Maximum Pain Relief 500,322,327,Spin,#18 Spin in Turn 2
653,Blue-Emu Maximum Pain Relief 500,331,335,Spin,#38 Spin in Turn 2
654,Blue-Emu Maximum Pain Relief 500,341,347,Accident,#2 and 99 Incident in Turn 2
655,Blue-Emu Maximum Pain Relief 500,350,355,Spin,#6 Spin in Turn 2
656,Blue-Emu Maximum Pain Relief 500,372,377,Accident,"#2, 42 and 43 Incident in Turn 2 "
657,Blue-Emu Maximum Pain Relief 500,387,396,Accident,"#1, 2, 17, 18, 21, 37, 38, 43, 48, 51, 77, 99 Incident in Turn 2 [Red Flag: 21:47]"
658,Blue-Emu Maximum Pain Relief 500,453,458,Spin,#14 Spin in Turn 3
659,UNOH 200 presented by Ohio Logistics,4,13,Accident,"#3, 32, 34 Incident Turn 2"
660,UNOH 200 presented by Ohio Logistics,23,32,Accident,#15 Incident Turn 2
661,UNOH 200 presented by Ohio Logistics,50,54,Accident,#20 Incident Turn 3
662,UNOH 200 presented by Ohio Logistics,57,66,Competition,Stage 1 Conclusion
663,UNOH 200 presented by Ohio Logistics,71,79,Accident,"#51, 3, 30, 41, 12, 34, 23, 45, 04, 9 Incident Backstretch [Red Flag: 00:06:23]"
664,UNOH 200 presented by Ohio Logistics,112,121,Competition,Stage 2 Conclusion 
665,UNOH 200 presented by Ohio Logistics,131,136,Accident,"#1, 11, 75 Incident Backstretch"
666,UNOH 200 presented by Ohio Logistics,156,163,Accident,"#10, 17, 21, 23 Incident Turn 4"
667,UNOH 200 presented by Ohio Logistics,173,177,Spin,#75 Spin Turn 2
668,UNOH 200 presented by Ohio Logistics,181,186,Spin,#22 Spin Turn 2
669,UNOH 200 presented by Ohio Logistics,190,195,Accident,"#16, 19, 22, 45, 1, 25 Incident Frontstretch [Red Flag: 00:07:37]"
670,South Point 400,27,30,Competition,Competition Caution
671,South Point 400,82,87,Competition,Stage 1 Conclusion
672,South Point 400,93,98,Accident,#15 Incident Turn 2
673,South Point 400,162,166,Competition,Stage 2 Conclusion
674,Wise Power 200,32,37,Competition,Stage 1 Conclusion
675,Wise Power 200,62,67,Competition,Stage 2 Conclusion
676,Wise Power 200,71,74,Accident,"#42, 98 Incident Turn 2"
677,Wise Power 200,129,133,Unknown,#10 Stopped On Track
678,Wise Power 200,135,138,Accident,"#52, 19 Incident Backstretch"
679,Explore the Pocono Mountains 350,3,6,Accident,#38 Incident Turn 2
680,Explore the Pocono Mountains 350,32,35,Competition,Stage 1 Conclusion
681,Explore the Pocono Mountains 350,87,90,Competition,Stage 2 Conclusion
682,Explore the Pocono Mountains 350,94,96,Debris,Debris
683,Dead On Tools 250,16,20,Spin,#90 Spin Turn 4
684,Dead On Tools 250,32,35,Competition,Competition
685,Dead On Tools 250,49,53,Unknown,Possible Fluid On Track
686,Dead On Tools 250,62,68,Competition,Stage 1 Conclusion
