,race__race_name,start_lap,end_lap,reason,comment
82,Sport Clips Haircuts VFW Help A Hero 200,110,115,Accident,"#98, 44 Incident Turn 3"
83,Sport Clips Haircuts VFW Help A Hero 200,139,142,Spin,#19 Spin Turn 4
84,Sport Clips Haircuts VFW Help A Hero 200,146,150,Debris,Debris frontstetch
85,Rackley Roofing 200,47,53,Competition,Stage 1 Conclusion
86,Rackley Roofing 200,79,83,Unknown,Fluid on track
87,Rackley Roofing 200,97,103,Competition,Stage 2 Conclusion
88,Rackley Roofing 200,105,108,Spin,#13 Spin Turn 4
89,Rackley Roofing 200,112,117,Accident,"#19, #25 Incident Backstretch"
90,Food City 300,10,16,Accident,#02 Incident Turn 2
91,Food City 300,42,51,Competition,Competition 
92,Food City 300,87,93,Competition,Stage 1 Conclusion
93,Food City 300,104,108,Accident,"#15, 44 Incident Backstretch"
94,Food City 300,111,116,Accident,"#48, 90, 99 Incident Frontstretch"
95,Toyota / Save Mart 350,12,13,Competition,Competition Caution
96,Toyota / Save Mart 350,22,24,Competition,Stage 1 Conclusion
97,Toyota / Save Mart 350,33,34,Accident,#47 Incident Turn 1
98,Toyota / Save Mart 350,42,44,Competition,Stage 2 Conclusion
99,Toyota / Save Mart 350,72,74,Unknown,#00 Stopped on Track Turn 6
100,Toyota / Save Mart 350,78,79,Accident,"#24, 48, 4, 43, 20, 7, 42 Incident Turn 11"
101,Toyota / Save Mart 350,87,87,Accident,"#51, 37, 21 Incident Turn 8"
102,Toyota / Save Mart 350,89,90,Accident,"#38, 20, 12, 48 Incident Turn 4"
103,Xfinity 500,62,67,Competition,Competition
104,Xfinity 500,73,76,Accident,"#6, 34, 99 Incident Turn 4"
105,Xfinity 500,132,140,Competition,Stage 1 Conclusion
106,Xfinity 500,198,203,Accident,#3 Incident Turn 2
107,Xfinity 500,262,269,Competition,Stage 2 Conclusion
108,Xfinity 500,311,319,Accident,"#7, 34, 52 Incident Turn 3"
109,Xfinity 500,324,329,Accident,"#00, 52 Incident Turn 3"
110,Xfinity 500,340,345,Accident,"#6, 41, 42 Incident Turn 2"
111,Xfinity 500,359,362,Accident,"#3, 41 Incident Turn 4"
